year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2008	02	06	Jordan	North Korea	0	1	WQ		-29	1501	1496	−4	+5	83	86
2008	02	17	Japan	North Korea	1	1	EAH	CN	-14	1769	1510	−1	+4	28	82
2008	02	20	North Korea	South Korea	1	1	EAH	CN	9	1519	1674	+2	−2	80	43
2008	02	23	China	North Korea	3	1	EAH		20	1559	1499	+3	−5	70	85
2008	03	26	North Korea	South Korea	0	0	WQ	CN	10	1509	1670	−1	−3	85	45
2008	06	02	Turkmenistan	North Korea	0	0	WQ		4	1345	1505	+1	0	117	84
2008	06	07	North Korea	Turkmenistan	1	0	WQ		7	1512	1338	+1	−1	84	118
2008	06	14	North Korea	Jordan	2	0	WQ		21	1533	1478	+7	−4	77	93
2008	06	22	South Korea	North Korea	0	0	WQ		-12	1675	1545	−2	+4	44	72
2008	07	31	North Korea	Sri Lanka	3	0	SQC	IN	3	1548	980	+1	0	69	188
2008	08	02	North Korea	Nepal	1	0	SQC	IN	1	1549	905	0	−1	69	198
2008	08	04	North Korea	Myanmar	1	0	SQC	IN	5	1554	1191	+1	−1	68	157
2008	08	07	Tajikistan	North Korea	1	0	SQC	IN	33	1332	1521	+5	−13	122	81
2008	08	13	North Korea	Myanmar	4	0	SQC	IN	9	1530	1167	+2	−1	79	165
2008	08	24	Qatar	North Korea	2	1	F		8	1504	1522	0	−2	87	80
2008	08	29	Uzbekistan	North Korea	0	0	F		-5	1597	1527	−1	0	57	80
2008	09	06	United Arab Emirates	North Korea	1	2	WQ		-20	1413	1547	−6	+6	106	74
2008	09	10	North Korea	South Korea	1	1	WQ	CN	7	1554	1672	+4	−1	69	45
2008	10	15	Iran	North Korea	2	1	WQ		5	1791	1549	0	−4	22	72
2008	10	28	Thailand	North Korea	1	0	VFF	VN	21	1421	1528	+10	−6	100	78
2008	10	30	Vietnam	North Korea	0	0	VFF		7	1245	1521	+3	−4	142	82
2009	01	23	Lebanon	North Korea	1	0	KNG	TH	25	1283	1496	+4	−8	135	89
2009	02	11	North Korea	Saudi Arabia	1	0	WQ		25	1521	1653	+6	−4	81	49
2009	03	28	North Korea	United Arab Emirates	2	0	WQ		15	1536	1408	+6	−2	76	105
2009	04	01	South Korea	North Korea	1	0	WQ		6	1733	1530	+4	−3	31	79
2009	06	06	North Korea	Iran	0	0	WQ		5	1535	1711	+2	0	77	41
2009	06	17	Saudi Arabia	North Korea	0	0	WQ		-13	1681	1548	0	+5	46	71
2009	08	23	North Korea	Guam	9	2	EAQ	TW	0	1548	607	0	0	73	224
2009	08	25	Hong Kong	North Korea	0	0	EAQ	TW	15	1231	1533	+3	−5	149	78
2009	08	27	Taiwan	North Korea	1	2	EAQ		-2	936	1535	0	+2	193	76
2009	10	13	Congo	North Korea	0	0	F	FR	4	1412	1531	0	−1	106	78
2009	11	21	Zambia	North Korea	4	1	F		17	1451	1514	+5	−3	97	84
2009	12	27	North Korea	Mali	1	0	FRC	QA	17	1531	1548	+3	−4	82	75
2009	12	30	Qatar	North Korea	0	1	FRC		-20	1530	1551	−9	+9	82	73
2010	01	02	Iran	North Korea	1	0	FRC	QA	11	1645	1540	+1	−6	49	79
2010	02	17	North Korea	Turkmenistan	1	1	SQC	LK	-12	1528	1318	−1	+7	82	123
2010	02	19	North Korea	Kyrgyzstan	4	0	SQC	LK	9	1537	1177	0	−1	82	159
2010	02	21	North Korea	India	3	0	SQC	LK	8	1545	1162	+4	−3	78	165
2010	02	24	North Korea	Myanmar	5	0	SQC	LK	9	1554	1182	+3	−1	75	158
2010	02	27	North Korea	Turkmenistan	1	1	SQC	LK	-10	1544	1379	−4	+1	78	116
2010	03	04	Venezuela	North Korea	1	1	F		-6	1702	1550	−1	+1	40	77
2010	03	06	Venezuela	North Korea	2	1	F		4	1706	1546	+1	−1	39	78
2010	03	17	Mexico	North Korea	2	1	F		1	1900	1545	0	0	8	78
2010	04	22	North Korea	South Africa	0	0	F	DE	0	1545	1529	0	0	78	81
2010	05	15	Paraguay	North Korea	1	0	F	CH	5	1757	1540	+3	0	26	79
2010	05	25	Greece	North Korea	2	2	F	AT	-6	1751	1546	−2	0	29	79
2010	06	06	Nigeria	North Korea	3	1	F	ZA	9	1713	1537	0	−1	38	80
