year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2008	02	06	Hungary	Slovakia	1	1	F	CY	2	1573	1652	0	−3	62	49
2008	03	26	Slovakia	Iceland	1	2	F		-18	1634	1423	−1	+3	50	101
2008	05	20	Turkey	Slovakia	1	0	F	DE	5	1812	1629	0	−1	18	51
2008	05	24	Switzerland	Slovakia	2	0	F		6	1793	1623	+2	−2	23	53
2008	08	20	Slovakia	Greece	0	2	F		-14	1609	1771	−3	+4	55	26
2008	09	06	Slovakia	Northern Ireland	2	1	WQ		13	1622	1576	+1	−2	54	62
2008	09	10	Slovenia	Slovakia	2	1	WQ		18	1577	1604	+4	−2	65	56
2008	10	11	San Marino	Slovakia	1	3	WQ		-2	923	1606	−2	0	196	56
2008	10	15	Slovakia	Poland	2	1	WQ		22	1628	1725	+3	−4	53	37
2008	11	19	Slovakia	Liechtenstein	4	0	F		2	1630	1185	0	−3	53	160
2009	02	10	Ukraine	Slovakia	3	2	FT	CY	9	1787	1621	+2	0	21	54
2009	02	11	Cyprus	Slovakia	3	2	FT		15	1536	1606	+5	−3	75	57
2009	03	28	England	Slovakia	4	0	F		2	1983	1604	0	0	6	57
2009	04	01	Czechia	Slovakia	1	2	WQ		-35	1800	1639	−7	+5	20	52
2009	06	06	Slovakia	San Marino	7	0	WQ		1	1640	916	+3	0	50	197
2009	08	12	Iceland	Slovakia	1	1	F		3	1421	1637	+1	+1	104	50
2009	09	05	Slovakia	Czechia	2	2	WQ		4	1641	1800	−1	−2	51	21
2009	09	09	Northern Ireland	Slovakia	0	2	WQ		-35	1567	1676	−5	+6	66	45
2009	10	10	Slovakia	Slovenia	0	2	WQ		-44	1632	1649	−7	+7	52	50
2009	10	14	Poland	Slovakia	0	1	WQ		-27	1634	1659	−3	+4	52	48
2009	11	14	Slovakia	United States	1	0	F		12	1671	1812	+2	−2	46	16
2009	11	17	Slovakia	Chile	1	2	F		-7	1664	1881	−1	+1	47	11
2010	03	03	Slovakia	Norway	0	1	F		-10	1654	1757	−2	+4	49	27
2010	05	29	Cameroon	Slovakia	1	1	F	AT	-1	1703	1655	0	0	38	48
2010	06	05	Slovakia	Costa Rica	3	0	F		15	1670	1696	+1	−1	47	39
