year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2008	01	30	South Korea	Chile	0	1	F		-11	1654	1743	−2	+1	46	35
2008	02	06	South Korea	Turkmenistan	4	0	WQ		8	1662	1374	+1	−1	45	110
2008	02	17	China	South Korea	2	3	EAH		-21	1553	1683	−11	+4	72	41
2008	02	20	North Korea	South Korea	1	1	EAH	CN	9	1519	1674	+2	−2	80	43
2008	02	23	Japan	South Korea	1	1	EAH	CN	-6	1777	1680	0	+1	27	42
2008	03	26	North Korea	South Korea	0	0	WQ	CN	10	1509	1670	−1	−3	85	45
2008	05	31	South Korea	Jordan	2	2	WQ		-13	1657	1517	−1	+8	46	81
2008	06	07	Jordan	South Korea	0	1	WQ		-18	1499	1675	−8	+2	89	45
2008	06	14	Turkmenistan	South Korea	1	3	WQ		-12	1326	1687	−2	+3	122	42
2008	06	22	South Korea	North Korea	0	0	WQ		-12	1675	1545	−2	+4	44	72
2008	09	05	South Korea	Jordan	1	0	F		4	1679	1549	+2	−4	43	72
2008	09	10	North Korea	South Korea	1	1	WQ	CN	7	1554	1672	+4	−1	69	45
2008	10	11	South Korea	Uzbekistan	3	0	F		7	1679	1538	0	−5	45	77
2008	10	15	South Korea	United Arab Emirates	4	1	WQ		8	1687	1403	+1	−2	44	107
2008	11	14	Qatar	South Korea	1	1	F		2	1517	1685	+2	0	83	44
2008	11	19	Saudi Arabia	South Korea	0	2	WQ		-40	1666	1725	−7	+7	47	37
2009	02	01	South Korea	Syria	1	1	F	AE	-4	1721	1588	0	0	38	60
2009	02	04	Bahrain	South Korea	2	2	F	AE	5	1557	1716	0	−2	71	40
2009	02	11	Iran	South Korea	1	1	WQ		-8	1761	1724	−2	+1	29	39
2009	03	28	South Korea	Iraq	2	1	F		3	1727	1530	+2	−4	36	80
2009	04	01	South Korea	North Korea	1	0	WQ		6	1733	1530	+4	−3	31	79
2009	06	02	Oman	South Korea	0	0	F	AE	3	1610	1730	0	−2	57	33
2009	06	06	United Arab Emirates	South Korea	0	2	WQ		-13	1388	1743	−6	+2	114	31
2009	06	10	South Korea	Saudi Arabia	0	0	WQ		-9	1734	1694	−2	+1	33	46
2009	06	17	South Korea	Iran	1	1	WQ		-7	1727	1721	−4	+1	37	39
2009	08	12	South Korea	Paraguay	1	0	F		9	1736	1779	+2	+1	36	24
2009	09	05	South Korea	Australia	3	1	F		12	1748	1759	+4	−3	32	29
2009	10	14	South Korea	Senegal	2	0	F		5	1753	1544	−1	0	31	75
2009	11	14	Denmark	South Korea	0	0	F		-4	1799	1757	+1	+1	18	29
2009	11	18	Serbia	South Korea	1	0	F	EN	8	1832	1749	+1	−3	14	32
2010	01	09	Zambia	South Korea	4	2	F	ZA	24	1523	1725	+4	−4	83	36
2010	01	18	South Korea	Finland	2	0	F	ES	13	1738	1667	0	−2	36	45
2010	01	22	South Korea	Latvia	1	0	F	ES	5	1743	1564	+1	−1	35	67
2010	02	07	South Korea	Hong Kong	5	0	EAH	JP	4	1747	1219	+2	0	32	151
2010	02	10	China	South Korea	3	0	EAH	JP	51	1621	1696	+13	−9	53	41
2010	02	14	Japan	South Korea	1	3	EAH		-44	1728	1740	−9	+8	35	33
2010	03	03	South Korea	Ivory Coast	2	0	F	EN	15	1755	1724	+3	−2	30	36
2010	05	16	South Korea	Ecuador	2	0	F		10	1765	1717	+5	−3	24	38
2010	05	24	Japan	South Korea	0	2	F		-17	1703	1782	−3	+3	40	21
2010	05	30	Belarus	South Korea	1	0	F	AT	15	1607	1767	+6	−4	56	25
2010	06	03	Spain	South Korea	1	0	F	AT	2	2109	1765	+1	0	1	24
