year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2008	01	19	United States	Sweden	2	0	F		13	1772	1793	+4	−1	27	21
2008	02	06	United States	Mexico	2	2	F		0	1772	1883	+1	+1	28	11
2008	03	26	Poland	United States	0	3	F		-24	1790	1796	−5	+7	24	21
2008	05	28	England	United States	2	0	F		7	1917	1789	+1	−3	8	25
2008	06	04	Spain	United States	1	0	F		3	1985	1786	0	−1	5	25
2008	06	08	United States	Argentina	0	0	F		4	1790	2033	+1	0	22	2
2008	06	15	United States	Barbados	8	0	WQ		3	1793	1276	0	−1	22	136
2008	06	22	Barbados	United States	0	1	WQ		-3	1273	1796	0	0	136	21
2008	08	20	Guatemala	United States	0	1	WQ		-11	1517	1807	−4	+3	84	18
2008	09	06	Cuba	United States	0	1	WQ		-8	1447	1815	−3	0	97	18
2008	09	10	United States	Trinidad and Tobago	3	0	WQ		8	1823	1540	0	−6	19	77
2008	10	11	United States	Cuba	6	1	WQ		4	1827	1425	0	0	19	100
2008	10	15	Trinidad and Tobago	United States	2	1	WQ		29	1577	1798	+6	−3	65	21
2008	11	19	United States	Guatemala	2	0	WQ		6	1804	1510	+2	+1	19	84
2009	01	24	United States	Sweden	3	2	F		6	1810	1752	0	−1	19	31
2009	02	11	United States	Mexico	2	0	WQ		23	1833	1799	+5	−3	14	20
2009	03	28	El Salvador	United States	2	2	WQ		13	1484	1820	+2	−2	87	16
2009	04	01	United States	Trinidad and Tobago	3	0	WQ		8	1828	1566	+3	−2	14	66
2009	06	03	Costa Rica	United States	3	1	WQ		29	1770	1799	+3	−5	28	19
2009	06	06	United States	Honduras	2	1	WQ		11	1810	1718	+3	−1	16	36
2009	06	15	Italy	United States	3	1	CC	ZA	20	2011	1790	+1	−6	4	22
2009	06	18	Brazil	United States	3	0	CC	ZA	15	2078	1775	0	−4	2	26
2009	06	21	United States	Egypt	3	0	CC	ZA	40	1815	1706	+10	−9	16	43
2009	06	24	United States	Spain	2	0	CC	ZA	65	1880	2067	+5	−1	11	2
2009	06	28	Brazil	United States	3	2	CC	ZA	10	2122	1870	0	0	1	11
2009	07	04	United States	Grenada	4	0	CCH		2	1872	1283	0	0	11	134
2009	07	08	United States	Honduras	2	0	CCH		16	1888	1724	+2	−3	9	38
2009	07	11	United States	Haiti	2	2	CCH		-23	1865	1441	−2	+4	11	100
2009	07	18	United States	Panama	2	1	CCH		4	1869	1550	0	0	11	70
2009	07	23	United States	Honduras	2	0	CCH		16	1885	1733	+2	−3	9	35
2009	07	26	United States	Mexico	0	5	CCH		-76	1809	1863	−8	+14	17	11
2009	08	12	Mexico	United States	2	1	WQ		12	1875	1797	0	−3	11	20
2009	09	05	United States	El Salvador	2	1	WQ		4	1801	1505	0	+2	20	83
2009	09	09	Trinidad and Tobago	United States	0	1	WQ		-12	1540	1813	−4	+2	75	18
2009	10	10	Honduras	United States	2	3	WQ		-23	1743	1836	−5	+2	33	16
2009	10	14	United States	Costa Rica	2	2	WQ		-12	1824	1710	+2	+2	14	41
2009	11	14	Slovakia	United States	1	0	F		12	1671	1812	+2	−2	46	16
2009	11	18	Denmark	United States	3	1	F		11	1810	1801	+2	−1	16	17
2010	01	23	United States	Honduras	1	3	F		-21	1780	1766	−5	+6	22	28
2010	02	24	United States	El Salvador	2	1	F		2	1782	1511	0	0	22	87
2010	03	03	Netherlands	United States	2	1	F		2	2033	1780	0	+1	3	21
2010	05	25	United States	Czechia	2	4	F		-21	1759	1750	−3	+3	25	30
2010	05	29	United States	Turkey	2	1	F		9	1768	1799	0	−1	25	18
2010	06	05	United States	Australia	3	1	F	ZA	16	1784	1775	+3	−2	20	22
