year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2012	02	28	Brazil	Bosnia and Herzegovina	2	1	F	CH	2	2066	1692	0	0	4	40
2012	05	26	Ireland	Bosnia and Herzegovina	1	0	F		5	1804	1687	+1	0	18	41
2012	05	31	Mexico	Bosnia and Herzegovina	2	1	F	US	5	1866	1682	0	−1	13	42
2012	08	15	Wales	Bosnia and Herzegovina	0	2	F		-17	1611	1699	−5	+2	59	39
2012	09	07	Liechtenstein	Bosnia and Herzegovina	1	8	WQ		-10	1220	1709	0	+4	151	35
2012	09	11	Bosnia and Herzegovina	Latvia	4	1	WQ		11	1720	1515	+1	−1	35	83
2012	10	12	Greece	Bosnia and Herzegovina	0	0	WQ		-10	1796	1730	−2	+4	21	31
2012	10	16	Bosnia and Herzegovina	Lithuania	3	0	WQ		8	1738	1476	+1	−2	30	93
2012	11	14	Algeria	Bosnia and Herzegovina	0	1	F		-8	1561	1746	−1	0	69	30
2013	02	06	Slovenia	Bosnia and Herzegovina	0	3	F		-15	1585	1761	−5	+4	63	26
2013	03	22	Bosnia and Herzegovina	Greece	3	1	WQ		26	1787	1794	+2	−3	24	22
2013	06	07	Latvia	Bosnia and Herzegovina	0	5	WQ		-19	1469	1806	0	+2	91	21
2013	08	14	Bosnia and Herzegovina	United States	3	4	F		-11	1795	1871	−2	+2	23	10
2013	09	06	Bosnia and Herzegovina	Slovakia	0	1	WQ		-34	1761	1618	−2	+8	25	54
2013	09	10	Slovakia	Bosnia and Herzegovina	1	2	WQ		-18	1600	1779	−3	+3	58	22
2013	10	11	Bosnia and Herzegovina	Liechtenstein	4	1	WQ		1	1780	1191	−1	−1	23	162
2013	10	15	Lithuania	Bosnia and Herzegovina	0	1	WQ		-9	1456	1789	−2	+2	95	22
2013	11	18	Argentina	Bosnia and Herzegovina	2	0	F	US	6	2020	1783	0	0	4	22
2014	03	05	Egypt	Bosnia and Herzegovina	2	0	F	AT	20	1688	1763	+3	−3	43	26
2014	05	30	Bosnia and Herzegovina	Ivory Coast	2	1	F	US	10	1773	1768	+3	−2	23	25
2014	06	03	Bosnia and Herzegovina	Mexico	1	0	F	US	12	1785	1821	+1	−1	23	19
