year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2012	02	29	England	Netherlands	2	3	F		-10	1945	2077	0	+1	6	2
2012	05	26	Norway	England	0	1	F		-8	1759	1953	−1	0	29	6
2012	06	02	England	Belgium	1	0	F		2	1955	1681	0	−1	6	43
2012	06	11	England	France	1	1	EC	UA	-6	1949	1873	0	+1	7	12
2012	06	15	England	Sweden	3	2	EC	UA	19	1968	1843	+1	0	6	15
2012	06	19	Ukraine	England	0	1	EC		-16	1728	1984	−3	+1	32	4
2012	06	24	England	Italy	0	0	EC	UA	-6	1978	1902	0	+1	4	10
2012	08	15	England	Italy	2	1	F	CH	8	1986	1909	0	+1	4	9
2012	09	07	Moldova	England	0	5	WQ		-5	1400	1991	−3	0	109	4
2012	09	11	England	Ukraine	1	1	WQ		-16	1975	1743	−1	+2	5	30
2012	10	12	England	San Marino	5	0	WQ		0	1975	889	−1	0	5	204
2012	10	17	Poland	England	1	1	WQ		9	1705	1966	+3	0	36	6
2012	11	14	Sweden	England	4	2	F		14	1907	1952	+2	0	9	6
2013	02	06	England	Brazil	2	1	F		10	1962	2051	0	−1	6	3
2013	03	22	San Marino	England	0	8	WQ		0	884	1962	0	0	202	6
2013	03	26	Montenegro	England	1	1	WQ		9	1695	1953	+2	0	39	6
2013	05	29	England	Ireland	1	1	F		-7	1946	1745	0	+1	6	31
2013	06	02	Brazil	England	2	2	F		-5	2036	1951	0	0	3	6
2013	08	14	England	Scotland	3	2	F		2	1953	1646	0	0	6	49
2013	09	06	England	Moldova	4	0	WQ		2	1955	1382	0	0	6	111
2013	09	10	Ukraine	England	0	0	WQ		3	1810	1952	0	0	21	6
2013	10	11	England	Montenegro	4	1	WQ		7	1959	1654	0	−1	6	49
2013	10	15	England	Poland	2	0	WQ		5	1964	1643	0	+3	6	48
2013	11	15	England	Chile	0	2	F		-22	1942	1918	0	+1	6	9
2013	11	19	England	Germany	0	1	F		-9	1933	2085	−1	0	7	3
2014	03	05	England	Denmark	1	0	F		3	1936	1743	0	0	6	28
2014	05	30	England	Peru	3	0	F		5	1941	1706	0	−1	6	36
2014	06	04	Ecuador	England	2	2	F	US	3	1835	1938	0	0	18	6
2014	06	07	England	Honduras	0	0	F	US	-7	1931	1668	−1	0	7	47
