year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2012	02	29	Ecuador	Honduras	2	0	F		6	1783	1645	+1	−1	23	51
2012	04	11	Costa Rica	Honduras	1	1	F		-4	1673	1649	0	0	43	51
2012	05	26	New Zealand	Honduras	1	0	F	US	13	1566	1636	+1	−6	72	55
2012	06	02	Honduras	El Salvador	3	0	F	US	15	1651	1561	+6	−5	48	73
2012	06	08	Honduras	Panama	0	2	WQ		-37	1614	1711	−8	+7	56	37
2012	06	12	Canada	Honduras	0	0	WQ		-4	1589	1618	0	+1	61	56
2012	09	07	Cuba	Honduras	0	3	WQ		-20	1344	1638	−4	+6	119	50
2012	09	11	Honduras	Cuba	1	0	WQ		4	1642	1340	+2	0	48	120
2012	10	12	Panama	Honduras	0	0	WQ		-9	1697	1651	+1	+1	37	47
2012	10	16	Honduras	Canada	8	1	WQ		28	1679	1584	+6	−8	41	64
2012	11	14	Honduras	Peru	0	0	F	US	1	1680	1709	+1	0	40	34
2013	01	18	El Salvador	Honduras	1	1	NQC	CR	8	1543	1672	+2	−1	75	43
2013	01	22	Honduras	Panama	1	1	NQC	CR	1	1673	1684	0	0	43	40
2013	01	25	Honduras	Belize	1	0	CCC	CR	2	1675	1166	0	−1	43	165
2013	01	27	Costa Rica	Honduras	1	0	CCC		15	1681	1660	+2	−2	42	45
2013	02	06	Honduras	United States	2	1	WQ		20	1680	1742	+2	−4	44	30
2013	03	22	Honduras	Mexico	2	2	WQ		7	1687	1891	+5	−1	38	10
2013	03	26	Panama	Honduras	2	0	WQ		21	1713	1666	+2	−7	35	45
2013	06	02	Israel	Honduras	2	0	F	US	15	1671	1651	+2	−3	44	47
2013	06	07	Costa Rica	Honduras	1	0	WQ		12	1711	1639	+5	−3	35	51
2013	06	11	Honduras	Jamaica	2	0	WQ		14	1653	1525	+3	−3	48	79
2013	06	18	United States	Honduras	1	0	WQ		8	1803	1645	+2	−2	22	50
2013	07	08	Honduras	Haiti	2	0	CCH	US	17	1662	1417	+4	−6	46	107
2013	07	12	Honduras	El Salvador	1	0	CCH	US	16	1678	1510	+2	−8	44	87
2013	07	15	Trinidad and Tobago	Honduras	2	0	CCH	US	64	1445	1614	+13	−10	100	54
2013	07	21	Honduras	Costa Rica	1	0	CCH	US	34	1648	1709	+5	−6	49	36
2013	07	24	United States	Honduras	3	1	CCH		12	1848	1636	+1	−3	17	52
2013	09	06	Mexico	Honduras	1	2	WQ		-33	1787	1669	−3	+7	23	44
2013	09	10	Honduras	Panama	2	2	WQ		-2	1667	1729	−2	+4	46	28
2013	10	11	Honduras	Costa Rica	1	0	WQ		19	1686	1724	+6	−4	41	30
2013	10	15	Jamaica	Honduras	2	2	WQ		3	1543	1683	+1	−1	74	42
2013	11	16	Brazil	Honduras	5	0	F	US	3	2127	1680	0	−1	1	44
2013	11	19	Ecuador	Honduras	2	2	F	US	-4	1835	1684	+2	+1	17	43
2014	03	05	Honduras	Venezuela	2	1	F		8	1692	1696	0	−3	42	40
2014	05	29	Turkey	Honduras	2	0	F	US	13	1756	1679	+2	−4	27	44
2014	06	01	Israel	Honduras	4	2	F	US	18	1632	1661	+3	−2	53	46
2014	06	07	England	Honduras	0	0	F	US	-7	1931	1668	−1	0	7	47
