year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2012	02	24	Japan	Iceland	3	1	F		2	1803	1438	+1	0	19	101
2012	02	29	Japan	Uzbekistan	0	1	WQ		-34	1769	1628	−8	+1	27	57
2012	05	23	Japan	Azerbaijan	2	0	F		2	1771	1386	0	0	27	110
2012	06	03	Japan	Oman	3	0	WQ		8	1779	1513	+2	−2	23	85
2012	06	08	Japan	Jordan	6	0	WQ		12	1791	1547	0	−1	23	73
2012	06	12	Australia	Japan	1	1	WQ		-6	1795	1797	−2	+3	19	18
2012	08	15	Japan	Venezuela	1	1	F		-5	1792	1697	−3	−2	21	40
2012	09	06	Japan	United Arab Emirates	1	0	F		1	1793	1420	+1	0	20	104
2012	09	11	Japan	Iraq	1	0	WQ		7	1800	1605	+2	−2	21	59
2012	10	12	France	Japan	0	1	F		-15	1858	1815	−2	+3	15	18
2012	10	16	Brazil	Japan	4	0	F	PL	7	2080	1808	0	−2	2	21
2012	11	14	Oman	Japan	1	2	WQ		-10	1518	1818	−3	+1	81	20
2013	02	06	Japan	Latvia	3	0	F		3	1821	1507	+1	−2	18	84
2013	03	22	Japan	Canada	2	1	F	QA	4	1825	1587	0	0	18	61
2013	03	26	Jordan	Japan	2	1	WQ		31	1545	1794	+12	−4	71	21
2013	05	30	Japan	Bulgaria	0	2	F		-23	1771	1700	−3	+3	24	39
2013	06	04	Japan	Australia	1	1	WQ		-7	1764	1754	−2	+2	26	30
2013	06	11	Japan	Iraq	1	0	WQ	QA	10	1774	1558	+3	−3	25	69
2013	06	15	Brazil	Japan	3	0	CC		9	2051	1765	0	−1	3	26
2013	06	19	Italy	Japan	4	3	CC	BR	14	1945	1751	0	−2	7	29
2013	06	22	Mexico	Japan	2	1	CC	BR	19	1848	1732	+1	−2	17	31
2013	07	21	China	Japan	3	3	EAH	KR	9	1567	1723	+4	+1	64	30
2013	07	25	Japan	Australia	3	2	EAH	KR	23	1746	1751	0	−4	31	29
2013	07	28	South Korea	Japan	1	2	EAH		-23	1681	1769	−7	+6	43	25
2013	08	14	Japan	Uruguay	2	4	F		-16	1753	1871	−2	+4	27	10
2013	09	06	Japan	Guatemala	3	0	F		4	1757	1477	+1	−3	26	92
2013	09	10	Japan	Ghana	3	1	F		9	1766	1688	+1	−2	25	40
2013	10	11	Serbia	Japan	2	0	F		12	1739	1754	+4	0	26	25
2013	10	15	Belarus	Japan	1	0	F		12	1594	1742	+3	−2	57	27
2013	11	16	Japan	Netherlands	2	2	F	BE	7	1749	2008	+1	−1	27	5
2013	11	19	Belgium	Japan	2	3	F		-15	1834	1764	−3	+2	18	25
2014	03	05	Japan	New Zealand	4	2	F		4	1768	1543	+1	−1	24	73
2014	05	27	Japan	Cyprus	1	0	F		1	1769	1385	0	0	24	112
2014	06	02	Japan	Costa Rica	3	1	F	US	13	1782	1711	+1	−1	23	33
2014	06	06	Japan	Zambia	4	3	F	US	3	1785	1483	+1	0	23	89
