year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2012	02	29	Switzerland	Argentina	1	3	F		-13	1754	1928	−3	0	29	7
2012	05	26	Switzerland	Germany	5	3	F		23	1777	2041	+4	0	25	4
2012	05	30	Switzerland	Romania	0	1	F		-14	1763	1730	−2	+3	28	33
2012	08	15	Croatia	Switzerland	2	4	F		-24	1864	1787	−1	+3	13	24
2012	09	07	Slovenia	Switzerland	0	2	WQ		-28	1636	1815	−8	+7	52	17
2012	09	11	Switzerland	Albania	2	0	WQ		5	1820	1511	−1	−1	18	85
2012	10	12	Switzerland	Norway	1	1	WQ		-11	1809	1723	−1	+1	19	35
2012	10	16	Iceland	Switzerland	0	2	WQ		-14	1481	1823	−2	+3	90	17
2012	11	14	Tunisia	Switzerland	1	2	F		-6	1590	1829	−3	−1	64	18
2013	02	06	Greece	Switzerland	0	0	F		-3	1820	1832	−1	0	19	17
2013	03	23	Cyprus	Switzerland	0	0	WQ		14	1429	1818	+2	−1	104	18
2013	06	08	Switzerland	Cyprus	1	0	WQ		2	1820	1427	0	0	19	102
2013	08	14	Switzerland	Brazil	1	0	F		15	1835	2110	+1	−1	18	2
2013	09	06	Switzerland	Iceland	4	4	WQ		-17	1818	1498	−1	+1	19	88
2013	09	10	Norway	Switzerland	0	2	WQ		-29	1682	1847	−8	+1	44	18
2013	10	11	Albania	Switzerland	1	2	WQ		-9	1517	1856	−2	+2	82	16
2013	10	15	Switzerland	Slovenia	1	0	WQ		6	1862	1656	+1	+1	15	46
2013	11	15	South Korea	Switzerland	2	1	F		12	1692	1850	+3	0	41	14
2014	03	05	Switzerland	Croatia	2	2	F		-4	1846	1809	−1	+1	15	21
2014	05	30	Switzerland	Jamaica	1	0	F		2	1848	1520	+2	−1	14	79
2014	06	03	Switzerland	Peru	2	0	F		6	1854	1700	+2	0	13	37
