year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2016	02	02	Venezuela	Costa Rica	1	0	F		13	1612	1781	+4	−2	54	23
2016	03	25	Jamaica	Costa Rica	1	1	WQ		6	1588	1775	+1	−2	61	24
2016	03	29	Costa Rica	Jamaica	3	0	WQ		11	1786	1577	+3	−3	21	64
2016	05	27	Costa Rica	Venezuela	2	1	F		3	1789	1612	0	−4	21	56
2016	06	04	Costa Rica	Paraguay	0	0	CA	US	-3	1786	1749	+1	0	19	32
2016	06	07	United States	Costa Rica	4	0	CA		41	1769	1745	+12	−13	23	33
2016	06	11	Costa Rica	Colombia	3	2	CA	US	41	1786	1972	+12	−3	21	7
2016	09	02	Haiti	Costa Rica	0	1	WQ		-9	1467	1795	−1	0	91	22
2016	09	06	Costa Rica	Panama	3	1	WQ		13	1808	1664	+2	−1	20	47
2016	10	09	Russia	Costa Rica	3	4	F		-10	1694	1818	−1	0	42	20
2016	11	11	Trinidad and Tobago	Costa Rica	0	2	WQ		-15	1511	1833	−3	0	79	20
2016	11	15	Costa Rica	United States	4	0	WQ		20	1853	1735	+3	−5	17	33
2017	01	13	Costa Rica	El Salvador	0	0	NQC	PA	-17	1836	1417	−2	+5	19	105
2017	01	15	Costa Rica	Belize	3	0	NQC	PA	2	1838	1199	0	0	19	165
2017	01	17	Costa Rica	Nicaragua	0	0	NQC	PA	-19	1819	1271	−1	+4	20	143
2017	01	20	Costa Rica	Honduras	1	1	NQC	PA	-11	1808	1622	0	+2	20	55
2017	01	22	Panama	Costa Rica	1	0	NQC		24	1670	1784	+7	−2	45	22
2017	03	24	Mexico	Costa Rica	2	0	WQ		12	1929	1772	+3	−2	8	23
2017	03	28	Honduras	Costa Rica	1	1	WQ		5	1597	1767	0	−3	62	26
2017	06	08	Costa Rica	Panama	0	0	WQ		-11	1756	1654	−4	+1	30	52
2017	06	13	Costa Rica	Trinidad and Tobago	2	1	WQ		3	1759	1441	+2	0	29	96
2017	07	07	Costa Rica	Honduras	1	0	CCH	US	14	1773	1582	+4	−2	25	64
2017	07	11	Canada	Costa Rica	1	1	CCH	US	15	1549	1758	+3	−3	71	28
2017	07	14	Costa Rica	French Guiana	3	0	CCH	US	9	1767	1374	+3	−4	26	117
2017	07	19	Costa Rica	Panama	1	0	CCH	US	19	1786	1665	+2	−5	24	48
2017	07	22	United States	Costa Rica	2	0	CCH		29	1797	1757	+5	−5	22	29
2017	09	01	United States	Costa Rica	0	2	WQ		-42	1762	1799	−12	+10	31	20
2017	09	05	Costa Rica	Mexico	1	1	WQ		-3	1796	1856	0	−1	20	15
2017	10	07	Costa Rica	Honduras	1	1	WQ		-14	1782	1597	−1	+3	24	62
2017	10	10	Panama	Costa Rica	2	1	WQ		22	1669	1760	+1	−3	47	26
2017	11	11	Spain	Costa Rica	5	0	F		4	2036	1756	0	0	3	26
2017	11	14	Hungary	Costa Rica	1	0	F		12	1611	1744	+5	−4	58	30
2018	03	23	Scotland	Costa Rica	0	1	F		-12	1707	1756	−3	+5	40	26
2018	03	27	Tunisia	Costa Rica	1	0	F	FR	13	1643	1743	+1	−4	51	30
2018	06	03	Costa Rica	Northern Ireland	3	0	F		10	1753	1676	+4	−1	27	45
2018	06	07	England	Costa Rica	2	0	F		5	1947	1748	0	−2	7	28
2018	06	11	Belgium	Costa Rica	4	1	F		6	1935	1742	0	−5	8	33
