year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2016	03	23	Croatia	Israel	2	0	F		4	1817	1574	+1	−2	16	66
2016	03	26	Hungary	Croatia	1	1	F		0	1700	1817	0	0	41	16
2016	05	27	Croatia	Moldova	1	0	F		1	1818	1351	0	−1	18	117
2016	06	04	Croatia	San Marino	10	0	F		0	1818	883	0	0	18	203
2016	06	12	Croatia	Turkey	1	0	EC	FR	26	1844	1802	+2	−2	16	19
2016	06	17	Croatia	Czechia	2	2	EC	FR	-7	1837	1751	−1	+2	17	30
2016	06	21	Croatia	Spain	2	1	EC	FR	37	1874	1985	+2	−1	15	4
2016	06	25	Portugal	Croatia	1	0	EC	FR	25	1897	1849	+3	−2	12	16
2016	09	05	Croatia	Turkey	1	1	WQ		-8	1841	1817	0	0	15	17
2016	10	06	Croatia	Kosovo	6	0	WQ	AL	7	1848	1406	−1	0	16	106
2016	10	09	Finland	Croatia	0	1	WQ		-10	1545	1858	−2	+2	72	15
2016	11	12	Croatia	Iceland	2	0	WQ		16	1874	1762	0	0	15	25
2016	11	15	Northern Ireland	Croatia	0	3	F		-12	1647	1886	−3	0	52	15
2017	01	11	Chile	Croatia	1	1	CHN	CN	-4	1977	1890	−1	+1	6	14
2017	01	14	China	Croatia	1	1	CHN		10	1519	1880	+4	−1	77	15
2017	03	24	Croatia	Ukraine	1	0	WQ		9	1889	1760	+2	−4	13	29
2017	03	28	Estonia	Croatia	3	0	F		31	1473	1858	+10	−3	86	15
2017	05	27	Croatia	Mexico	2	1	F	US	12	1870	1921	+2	−1	13	10
2017	06	11	Iceland	Croatia	1	0	WQ		19	1801	1851	+3	−2	20	16
2017	09	03	Croatia	Kosovo	1	0	WQ		1	1852	1383	0	0	15	112
2017	09	05	Turkey	Croatia	1	0	WQ		19	1787	1833	+4	−2	24	17
2017	10	06	Croatia	Finland	1	1	WQ		-16	1817	1582	−1	+4	19	66
2017	10	09	Ukraine	Croatia	0	2	WQ		-34	1730	1851	−4	+1	33	18
2017	11	09	Croatia	Greece	4	1	WQ		11	1862	1654	+2	0	15	48
2017	11	12	Greece	Croatia	0	0	WQ		6	1660	1856	0	−1	49	16
2018	03	23	Peru	Croatia	2	0	F	US	14	1895	1842	+2	−2	10	18
2018	03	27	Croatia	Mexico	1	0	F	US	11	1853	1858	+1	0	17	16
2018	06	03	Brazil	Croatia	2	0	F	EN	5	2135	1848	0	0	1	17
2018	06	08	Croatia	Senegal	2	1	F		5	1853	1731	0	−1	17	35
