year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2016	01	13	Iceland	Finland	1	0	F	AE	8	1680	1584	0	−1	43	61
2016	01	16	United Arab Emirates	Iceland	2	1	F		9	1636	1671	+1	0	49	43
2016	01	31	United States	Iceland	3	2	F		5	1763	1666	0	−1	30	44
2016	03	24	Denmark	Iceland	2	1	F		6	1732	1660	+1	−1	35	45
2016	03	29	Greece	Iceland	2	3	F		-12	1604	1672	−7	+2	60	43
2016	06	01	Norway	Iceland	3	2	F		8	1637	1664	+2	0	48	43
2016	06	06	Iceland	Liechtenstein	4	0	F		1	1665	1192	0	+1	44	164
2016	06	14	Iceland	Portugal	1	1	EC	FR	15	1680	1893	+2	−1	44	13
2016	06	18	Hungary	Iceland	1	1	EC	FR	-4	1738	1684	0	0	35	43
2016	06	22	Iceland	Austria	2	1	EC	FR	29	1713	1713	+5	−9	39	39
2016	06	27	Iceland	England	2	1	EC	FR	40	1753	1912	+11	−4	28	11
2016	07	03	France	Iceland	5	2	EC		12	1987	1741	+1	−2	4	31
2016	09	05	Ukraine	Iceland	1	1	WQ		-5	1733	1746	0	0	32	30
2016	10	06	Iceland	Finland	3	2	WQ		6	1752	1555	+1	−3	28	70
2016	10	09	Iceland	Turkey	2	0	WQ		26	1778	1781	+2	−1	25	22
2016	11	12	Croatia	Iceland	2	0	WQ		16	1874	1762	0	0	15	25
2016	11	15	Malta	Iceland	0	2	F		-2	1214	1764	−3	−2	160	27
2017	01	10	China	Iceland	0	2	CHN		-14	1509	1778	−5	+2	81	24
2017	01	15	Chile	Iceland	1	0	CHN	CN	7	1984	1771	+1	−1	5	25
2017	02	08	Mexico	Iceland	1	0	F	US	6	1917	1765	+1	−1	11	26
2017	03	24	Kosovo	Iceland	1	2	WQ	AL	-4	1390	1769	−3	+1	111	25
2017	03	28	Ireland	Iceland	0	1	F		-13	1780	1782	−4	+3	24	22
2017	06	11	Iceland	Croatia	1	0	WQ		19	1801	1851	+3	−2	20	16
2017	09	02	Finland	Iceland	1	0	WQ		29	1555	1772	+5	−9	72	28
2017	09	05	Iceland	Ukraine	2	0	WQ		22	1794	1758	+5	−3	22	29
2017	10	06	Turkey	Iceland	0	3	WQ		-44	1743	1838	−8	+4	32	18
2017	10	09	Iceland	Kosovo	2	0	WQ		2	1840	1364	−1	0	19	118
2017	11	08	Czechia	Iceland	2	1	FT	QA	21	1702	1819	+4	−1	40	19
2017	11	14	Qatar	Iceland	1	1	FT		9	1475	1810	+2	−1	88	21
2018	01	14	Indonesia	Iceland	1	4	F		-2	1235	1812	0	0	154	21
2018	03	23	Mexico	Iceland	3	0	F	US	15	1869	1797	+2	0	15	21
2018	03	27	Peru	Iceland	3	1	F	US	11	1906	1786	+1	−1	10	22
2018	06	02	Iceland	Norway	2	3	F		-17	1769	1631	−2	+1	24	54
2018	06	07	Iceland	Ghana	2	2	F		-6	1763	1641	0	+2	24	52
