year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2016	03	26	Cape Verde	Morocco	0	1	FQ		-26	1515	1554	−8	+8	80	69
2016	03	29	Morocco	Cape Verde	2	0	FQ		19	1573	1496	+3	−7	67	87
2016	05	27	Morocco	Congo	2	0	F		8	1581	1479	+4	−1	63	90
2016	06	03	Libya	Morocco	1	1	FQ	TN	6	1478	1575	+2	−2	90	66
2016	08	31	Albania	Morocco	0	0	F		-4	1629	1579	0	0	52	61
2016	09	04	Morocco	Sao Tome and Principe	2	0	FQ		2	1581	1099	0	0	63	181
2016	10	08	Gabon	Morocco	0	0	WQ		2	1452	1579	−1	−1	98	64
2016	10	10	Morocco	Jordan	2	1	F		6	1585	1518	+4	0	61	78
2016	10	11	Morocco	Canada	4	0	F		11	1596	1519	+1	−1	60	77
2016	11	12	Morocco	Ivory Coast	0	0	WQ		1	1597	1717	0	0	60	36
2016	11	15	Morocco	Togo	2	1	F		3	1600	1414	0	−1	58	104
2017	01	09	Finland	Morocco	1	0	F	AE	12	1551	1588	+2	−2	71	60
2017	01	16	DR Congo	Morocco	1	0	AR	GA	27	1591	1561	+9	−8	59	68
2017	01	20	Morocco	Togo	3	1	AR	GA	24	1585	1408	+5	−10	64	107
2017	01	24	Morocco	Ivory Coast	1	0	AR	GA	33	1618	1675	+6	−7	58	44
2017	01	29	Egypt	Morocco	1	0	AR	GA	20	1708	1598	+5	−2	36	60
2017	03	24	Morocco	Burkina Faso	2	0	F		12	1610	1605	+4	−3	57	59
2017	03	28	Morocco	Tunisia	1	0	F		6	1616	1550	0	+1	58	71
2017	05	31	Morocco	Netherlands	1	2	F		-7	1609	1839	0	0	58	18
2017	06	10	Cameroon	Morocco	1	0	FQ		11	1691	1598	+4	−4	40	61
2017	09	01	Morocco	Mali	6	0	WQ		23	1621	1507	+6	−6	55	82
2017	09	05	Mali	Morocco	0	0	WQ		1	1508	1620	+2	0	80	55
2017	10	07	Morocco	Gabon	3	0	WQ		12	1632	1430	+1	0	53	98
2017	10	10	Morocco	South Korea	3	1	F	CH	19	1651	1698	+4	−5	49	41
2017	11	11	Ivory Coast	Morocco	0	2	WQ		-37	1601	1688	−8	+4	61	45
2018	03	23	Morocco	Serbia	2	1	F	IT	13	1701	1770	+4	0	41	24
2018	03	27	Morocco	Uzbekistan	2	0	F		8	1709	1606	+1	−5	41	59
2018	05	31	Morocco	Ukraine	0	0	F	CH	1	1710	1741	−1	+1	42	31
2018	06	04	Morocco	Slovakia	2	1	F	CH	11	1721	1751	+1	−2	39	27
2018	06	09	Estonia	Morocco	1	3	F		-10	1486	1731	−2	+5	84	35
