year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2020	10	09	Mali	Ghana	3	0	F	TR	22	1556	1608	+2	−5	70	57
2020	10	12	Ghana	Qatar	5	1	F	TR	22	1630	1646	+5	−3	52	49
2020	11	12	Ghana	Sudan	2	0	FQ		5	1635	1297	0	−1	50	133
2020	11	17	Sudan	Ghana	1	0	FQ		32	1329	1603	+7	−8	125	58
2021	03	25	South Africa	Ghana	1	1	FQ		-1	1514	1604	0	0	76	58
2021	03	28	Ghana	Sao Tome and Principe	3	1	FQ		1	1605	1064	+2	0	56	183
2021	06	08	Morocco	Ghana	1	0	F		6	1677	1599	+1	−2	42	60
2021	06	12	Ghana	Ivory Coast	0	0	F		-2	1597	1643	−2	−1	62	48
2021	09	03	Ghana	Ethiopia	1	0	WQ		4	1601	1331	0	−1	59	126
2021	09	06	South Africa	Ghana	1	0	WQ		20	1528	1581	+5	−6	75	64
2021	10	09	Ghana	Zimbabwe	3	1	WQ		7	1588	1334	−1	0	61	123
2021	10	12	Zimbabwe	Ghana	0	1	WQ		-12	1322	1600	−2	+2	127	61
2021	11	11	Ethiopia	Ghana	1	1	WQ	ZA	13	1332	1587	+7	−4	122	64
2021	11	14	Ghana	South Africa	1	0	WQ		13	1600	1548	+2	−1	62	70
2022	01	05	Algeria	Ghana	3	0	F	QA	8	1807	1592	0	−1	26	64
2022	01	10	Morocco	Ghana	1	0	AR	CM	14	1778	1578	+1	−2	30	66
2022	01	14	Gabon	Ghana	1	1	AR	CM	11	1427	1567	+2	−1	95	67
2022	01	18	Comoros	Ghana	3	2	AR	CM	44	1272	1523	+12	−10	140	76
2022	03	25	Ghana	Nigeria	0	0	WQ		2	1525	1655	+1	+1	76	52
2022	03	29	Nigeria	Ghana	1	1	WQ		-12	1643	1537	−1	0	53	74
2022	06	01	Ghana	Madagascar	3	0	FQ		10	1547	1311	+5	−4	69	130
2022	06	05	Central African Republic	Ghana	1	1	FQ	AO	14	1262	1533	+5	−3	144	75
2022	06	10	Japan	Ghana	4	1	KRN		6	1808	1527	+2	0	25	76
2022	06	14	Chile	Ghana	0	0	KRN	JP	-8	1718	1535	−3	−1	40	77
2022	09	23	Brazil	Ghana	3	0	F	FR	1	2167	1534	0	0	1	76
2022	09	27	Ghana	Nicaragua	1	0	F	ES	3	1537	1253	+1	−3	75	148
2022	11	17	Ghana	Switzerland	2	0	F	AE	27	1564	1901	+7	−3	67	15
