year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2020	09	30	Mexico	Guatemala	3	0	F		2	1903	1480	0	0	13	86
2020	10	07	Netherlands	Mexico	0	1	F		-15	1978	1918	−2	0	8	13
2020	10	13	Algeria	Mexico	2	2	F	NL	4	1755	1914	−2	0	32	13
2020	11	14	Mexico	South Korea	3	2	F	AT	6	1920	1766	0	0	14	28
2020	11	17	Mexico	Japan	2	0	F	AT	8	1928	1744	+1	−1	13	35
2021	03	27	Wales	Mexico	1	0	F		10	1832	1918	+2	0	18	13
2021	03	30	Mexico	Costa Rica	1	0	F	AT	3	1921	1621	0	+1	13	52
2021	05	29	Mexico	Iceland	2	1	F	US	3	1924	1600	0	0	13	58
2021	06	03	Costa Rica	Mexico	0	0	CNL	US	14	1635	1910	+3	−1	49	14
2021	06	06	United States	Mexico	3	2	CNL		22	1790	1888	+1	−1	25	15
2021	06	12	Honduras	Mexico	0	0	F	US	7	1606	1881	+2	0	58	15
2021	06	30	Mexico	Panama	3	0	F	US	5	1886	1548	0	−1	15	71
2021	07	03	Mexico	Nigeria	4	0	F	US	8	1894	1662	0	−1	15	44
2021	07	10	Mexico	Trinidad and Tobago	0	0	CCH	US	-23	1871	1383	0	+11	15	108
2021	07	14	Mexico	Guatemala	3	0	CCH	US	8	1879	1454	0	−1	15	89
2021	07	18	Mexico	El Salvador	1	0	CCH	US	7	1886	1549	0	−1	15	70
2021	07	24	Mexico	Honduras	3	0	CCH	US	14	1900	1584	0	−2	15	61
2021	07	29	Mexico	Canada	2	1	CCH	US	14	1914	1723	+1	−2	14	39
2021	08	01	United States	Mexico	1	0	CCH		23	1861	1891	0	−1	17	15
2021	09	02	Mexico	Jamaica	2	1	WQ		3	1894	1569	0	−1	15	66
2021	09	05	Costa Rica	Mexico	0	1	WQ		-11	1617	1905	−1	0	54	15
2021	09	08	Panama	Mexico	1	1	WQ		11	1599	1894	+2	0	59	15
2021	10	07	Mexico	Canada	1	1	WQ		-13	1881	1748	0	+2	15	33
2021	10	10	Mexico	Honduras	3	0	WQ		6	1887	1567	0	−4	15	68
2021	10	13	El Salvador	Mexico	0	2	WQ		-11	1511	1898	−4	0	80	15
2021	10	27	Ecuador	Mexico	3	2	F	US	13	1807	1885	+5	0	22	15
2021	11	12	United States	Mexico	2	0	WQ		25	1866	1860	+2	−1	15	16
2021	11	16	Canada	Mexico	2	1	WQ		20	1784	1840	+1	−3	28	19
2021	12	08	Chile	Mexico	2	2	F	US	1	1790	1839	0	0	26	19
2022	01	27	Jamaica	Mexico	1	2	WQ		-12	1571	1851	0	+1	65	18
2022	01	30	Mexico	Costa Rica	0	0	WQ		-15	1836	1647	−1	+1	20	53
2022	02	02	Mexico	Panama	1	0	WQ		6	1842	1624	0	−4	20	59
2022	03	24	Mexico	United States	0	0	WQ		-6	1836	1844	0	+5	20	17
2022	03	27	Honduras	Mexico	0	1	WQ		-6	1445	1842	−3	+1	94	19
2022	03	30	Mexico	El Salvador	2	0	WQ		5	1847	1504	+2	0	17	81
2022	04	27	Guatemala	Mexico	0	0	F	US	8	1502	1839	+3	−2	81	19
2022	05	28	Mexico	Nigeria	2	1	F	US	5	1844	1638	+1	0	18	53
2022	06	02	Uruguay	Mexico	3	0	F	US	14	1936	1830	+1	−2	11	21
2022	06	05	Ecuador	Mexico	0	0	F	US	0	1844	1830	0	0	17	20
2022	06	11	Mexico	Suriname	3	0	CLA		2	1832	1317	0	−1	21	125
2022	06	14	Jamaica	Mexico	1	1	CLA		10	1548	1822	+2	−2	71	22
2022	08	31	Paraguay	Mexico	1	0	F	US	13	1735	1809	+2	−2	36	24
2022	09	24	Mexico	Peru	1	0	F	US	11	1820	1838	+1	−2	22	19
2022	09	27	Colombia	Mexico	3	2	F	US	8	1911	1812	0	0	15	22
2022	11	09	Mexico	Iraq	4	0	F	ES	8	1820	1566	+1	−1	21	66
2022	11	16	Sweden	Mexico	2	1	F	ES	12	1747	1808	+2	−1	34	22
