year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2020	09	04	Netherlands	Poland	1	0	ENA		5	2022	1784	0	0	5	24
2020	09	07	Netherlands	Italy	0	1	ENA		-29	1993	1981	−1	+4	6	8
2020	10	07	Netherlands	Mexico	0	1	F		-15	1978	1918	−2	0	8	13
2020	10	11	Bosnia and Herzegovina	Netherlands	0	0	ENA		11	1681	1967	+3	−4	42	12
2020	10	14	Italy	Netherlands	1	1	ENA		-6	1971	1973	0	+2	9	8
2020	11	11	Netherlands	Spain	1	1	F		-1	1972	2027	0	0	8	5
2020	11	15	Netherlands	Bosnia and Herzegovina	3	1	ENA		5	1977	1646	−1	0	9	47
2020	11	18	Poland	Netherlands	1	2	ENA		-17	1812	1994	−4	+1	22	7
2021	03	24	Turkey	Netherlands	4	2	WQ		42	1794	1952	+9	−3	24	10
2021	03	27	Netherlands	Latvia	2	0	WQ		1	1953	1249	0	0	10	146
2021	03	30	Gibraltar	Netherlands	0	7	WQ		-1	1087	1954	0	0	181	10
2021	06	02	Netherlands	Scotland	2	2	F	PT	-7	1947	1673	−1	+1	11	42
2021	06	06	Netherlands	Georgia	3	0	F		2	1949	1527	0	0	10	75
2021	06	13	Netherlands	Ukraine	3	2	EC		10	1959	1804	0	0	9	20
2021	06	17	Netherlands	Austria	2	0	EC		12	1971	1757	0	−4	9	33
2021	06	21	Netherlands	North Macedonia	3	0	EC		5	1976	1563	0	−2	8	67
2021	06	27	Czechia	Netherlands	2	0	EC	HU	55	1853	1921	+5	−2	17	11
2021	09	01	Norway	Netherlands	1	1	WQ		5	1743	1916	+1	0	35	12
2021	09	04	Netherlands	Montenegro	4	0	WQ		4	1920	1528	0	0	11	76
2021	09	07	Netherlands	Turkey	6	1	WQ		12	1932	1707	+1	−1	11	39
2021	10	08	Latvia	Netherlands	0	1	WQ		-2	1296	1934	0	0	134	12
2021	10	11	Netherlands	Gibraltar	6	0	WQ		0	1934	1065	0	0	12	182
2021	11	13	Montenegro	Netherlands	2	2	WQ		15	1529	1919	+5	−1	74	12
2021	11	16	Netherlands	Norway	2	0	WQ		10	1929	1733	0	0	12	34
2022	03	26	Netherlands	Denmark	4	2	F		11	1940	1926	+2	−2	10	12
2022	03	29	Netherlands	Germany	1	1	F		-2	1938	1966	0	0	10	9
2022	06	03	Belgium	Netherlands	1	4	ENA		-55	2013	1993	−2	+3	6	7
2022	06	08	Wales	Netherlands	1	2	ENA		-17	1823	2010	−4	0	22	8
2022	06	11	Netherlands	Poland	2	2	ENA		-14	1996	1817	0	+1	8	25
2022	06	14	Netherlands	Wales	3	2	ENA		7	2003	1822	+2	0	6	22
2022	09	22	Poland	Netherlands	0	2	ENA		-22	1781	2025	−1	0	28	6
2022	09	25	Netherlands	Belgium	1	0	ENA		15	2040	2024	+3	−2	3	5
