year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2020	09	04	Netherlands	Poland	1	0	ENA		5	2022	1784	0	0	5	24
2020	09	07	Bosnia and Herzegovina	Poland	1	2	ENA		-21	1678	1805	−4	+1	43	23
2020	10	07	Poland	Finland	5	1	F		7	1812	1652	+1	−1	22	48
2020	10	11	Poland	Italy	0	0	ENA		4	1816	1977	+2	−1	20	8
2020	10	14	Poland	Bosnia and Herzegovina	3	0	ENA		14	1830	1667	+1	−2	19	44
2020	11	11	Poland	Ukraine	2	0	F		12	1842	1847	0	0	19	17
2020	11	15	Italy	Poland	2	0	ENA		13	1985	1829	+2	−2	6	19
2020	11	18	Poland	Netherlands	1	2	ENA		-17	1812	1994	−4	+1	22	7
2021	03	25	Hungary	Poland	3	3	WQ		-2	1742	1814	0	+1	37	21
2021	03	28	Poland	Andorra	3	0	WQ		0	1814	1033	0	0	23	185
2021	03	31	England	Poland	2	1	WQ		7	1977	1807	+1	0	8	22
2021	06	01	Poland	Russia	1	1	F		-5	1802	1743	0	+1	22	36
2021	06	08	Poland	Iceland	2	2	F		-7	1795	1611	0	+2	22	57
2021	06	14	Slovakia	Poland	2	1	EC	RU	35	1691	1760	+4	−10	41	32
2021	06	19	Spain	Poland	1	1	EC		-19	1997	1779	0	+5	6	27
2021	06	23	Sweden	Poland	3	2	EC	RU	18	1896	1761	+3	−5	13	33
2021	09	02	Poland	Albania	4	1	WQ		10	1771	1546	+3	−4	29	73
2021	09	05	San Marino	Poland	1	7	WQ		-1	817	1772	0	0	209	28
2021	09	08	Poland	England	1	1	WQ		10	1782	2045	0	−1	28	6
2021	10	09	Poland	San Marino	5	0	WQ		0	1782	816	0	0	27	209
2021	10	12	Albania	Poland	0	1	WQ		-16	1588	1798	−3	+1	62	25
2021	11	12	Andorra	Poland	1	4	WQ		-2	1058	1800	0	0	184	26
2021	11	15	Poland	Hungary	1	2	WQ		-31	1769	1725	−2	+4	28	38
2022	03	24	Scotland	Poland	1	1	F		-2	1726	1771	0	0	36	30
2022	03	29	Poland	Sweden	2	0	WQ		27	1798	1808	+2	−5	28	26
2022	06	01	Poland	Wales	2	1	ENA		17	1815	1824	+2	−3	25	22
2022	06	08	Belgium	Poland	6	1	ENA		12	2025	1803	0	−3	5	27
2022	06	11	Netherlands	Poland	2	2	ENA		-14	1996	1817	0	+1	8	25
2022	06	14	Poland	Belgium	0	1	ENA		-14	1803	2033	−4	+1	28	4
2022	09	22	Poland	Netherlands	0	2	ENA		-22	1781	2025	−1	0	28	6
2022	09	25	Wales	Poland	0	1	ENA		-27	1789	1808	−4	+4	27	23
2022	11	16	Poland	Chile	1	0	F		5	1813	1697	+2	−3	21	43
