year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2020	10	08	Uruguay	Chile	2	1	WQ		7	1972	1800	+1	0	10	23
2020	10	13	Ecuador	Uruguay	4	2	WQ		42	1762	1930	+9	−1	28	12
2020	11	13	Colombia	Uruguay	0	3	WQ		-50	1943	1980	−6	+7	12	6
2020	11	17	Uruguay	Brazil	0	2	WQ		-28	1952	2135	−3	0	11	1
2021	06	03	Uruguay	Paraguay	0	0	WQ		-13	1939	1782	−1	+2	11	25
2021	06	08	Venezuela	Uruguay	0	0	WQ		4	1765	1935	0	0	30	11
2021	06	18	Argentina	Uruguay	1	0	CA	BR	22	1994	1913	+1	−2	7	12
2021	06	21	Chile	Uruguay	1	1	CA	BR	5	1842	1908	0	−1	18	12
2021	06	24	Uruguay	Bolivia	2	0	CA	BR	11	1919	1587	0	−2	12	62
2021	06	28	Uruguay	Paraguay	1	0	CA	BR	18	1937	1808	+1	−1	11	21
2021	07	03	Colombia	Uruguay	0	0	CA	BR	3	1895	1934	0	0	14	10
2021	09	02	Peru	Uruguay	1	1	WQ		1	1809	1933	+1	0	21	10
2021	09	05	Uruguay	Bolivia	4	2	WQ		4	1937	1588	0	−1	10	62
2021	09	09	Uruguay	Ecuador	1	0	WQ		8	1945	1791	0	−3	10	26
2021	10	07	Uruguay	Colombia	0	0	WQ		-7	1938	1931	0	0	10	13
2021	10	10	Argentina	Uruguay	3	0	WQ		15	2084	1923	+1	−2	3	13
2021	10	14	Brazil	Uruguay	4	1	WQ		10	2140	1913	0	−1	1	14
2021	11	12	Uruguay	Argentina	0	1	WQ		-16	1897	2104	0	+1	14	2
2021	11	16	Bolivia	Uruguay	3	0	WQ		50	1693	1847	+8	−3	43	17
2022	01	27	Paraguay	Uruguay	0	1	WQ		-19	1709	1866	−4	+3	40	14
2022	02	01	Uruguay	Venezuela	4	1	WQ		13	1879	1691	+1	−1	13	43
2022	03	24	Uruguay	Peru	1	0	WQ		13	1892	1841	0	−2	13	19
2022	03	29	Chile	Uruguay	0	2	WQ		-30	1767	1922	−1	+1	30	12
2022	06	02	Uruguay	Mexico	3	0	F	US	14	1936	1830	+1	−2	11	21
2022	06	05	United States	Uruguay	0	0	F		0	1829	1936	0	0	21	12
2022	06	11	Uruguay	Panama	5	0	F		4	1940	1650	0	−1	12	51
2022	09	23	Iran	Uruguay	1	0	F	AT	14	1822	1926	+4	0	21	11
2022	09	27	Uruguay	Canada	2	0	F	SK	9	1935	1769	0	+1	11	29
