year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2020	09	03	Finland	Wales	0	1	ENB		-18	1629	1800	−4	+2	53	23
2020	09	06	Wales	Bulgaria	1	0	ENB		5	1805	1558	0	0	23	67
2020	10	08	England	Wales	3	0	F		6	1972	1799	0	0	10	24
2020	10	11	Ireland	Wales	0	0	ENB		0	1700	1799	+1	0	39	24
2020	10	14	Bulgaria	Wales	0	1	ENB		-10	1503	1809	−2	+2	79	21
2020	11	12	Wales	United States	0	0	F		-5	1804	1731	−2	0	22	37
2020	11	15	Wales	Ireland	1	0	ENB		9	1813	1671	0	−3	22	45
2020	11	18	Wales	Finland	3	1	ENB		15	1828	1708	+3	−2	18	40
2021	03	24	Belgium	Wales	3	1	WQ		6	2116	1822	0	−1	2	19
2021	03	27	Wales	Mexico	1	0	F		10	1832	1918	+2	0	18	13
2021	03	30	Wales	Czechia	1	0	WQ		12	1844	1768	+3	−1	16	29
2021	06	02	France	Wales	3	0	F		4	2086	1840	0	0	3	17
2021	06	05	Wales	Albania	0	0	F		-8	1832	1560	0	+1	17	71
2021	06	12	Switzerland	Wales	1	1	EC	AZ	-4	1885	1836	0	0	14	17
2021	06	16	Wales	Turkey	2	0	EC	AZ	32	1868	1756	+2	−9	15	34
2021	06	20	Italy	Wales	1	0	EC		9	2052	1859	0	−1	4	17
2021	06	26	Denmark	Wales	4	0	EC	NL	38	1963	1821	+1	−2	10	19
2021	09	01	Finland	Wales	0	0	F		0	1705	1821	0	0	40	20
2021	09	05	Wales	Belarus	3	2	WQ	RU	5	1826	1483	0	−1	20	84
2021	09	08	Wales	Estonia	0	0	WQ		-18	1808	1412	−2	+3	22	100
2021	10	08	Czechia	Wales	2	2	WQ		-7	1821	1815	0	0	21	22
2021	10	11	Estonia	Wales	0	1	WQ		-7	1432	1822	−1	0	94	21
2021	11	13	Wales	Belarus	5	1	WQ		5	1827	1443	+1	−1	21	92
2021	11	16	Wales	Belgium	1	1	WQ		8	1835	2074	+1	0	21	4
2022	03	24	Wales	Austria	2	1	WQ		9	1844	1721	+6	−3	17	38
2022	03	29	Wales	Czechia	1	1	F		-3	1841	1821	−2	+3	20	23
2022	06	01	Poland	Wales	2	1	ENA		17	1815	1824	+2	−3	25	22
2022	06	05	Wales	Ukraine	1	0	WQ		16	1840	1832	+4	−3	18	19
2022	06	08	Wales	Netherlands	1	2	ENA		-17	1823	2010	−4	0	22	8
2022	06	11	Wales	Belgium	1	1	ENA		6	1829	2019	0	−1	23	6
2022	06	14	Netherlands	Wales	3	2	ENA		7	2003	1822	+2	0	6	22
2022	09	22	Belgium	Wales	2	1	ENA		6	2039	1816	0	−1	4	22
2022	09	25	Wales	Poland	0	1	ENA		-27	1789	1808	−4	+4	27	23
