year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	23	Algeria	Niger	2	1	FQ		1	1706	1240	0	0	42	152
2023	03	27	Algeria	Niger	1	0	FQ	TN	3	1709	1237	0	0	42	153
2023	06	18	Algeria	Uganda	2	1	FQ	CM	5	1714	1376	0	−2	39	111
2023	06	20	Algeria	Tunisia	1	1	F		-3	1711	1728	0	+1	40	36
2023	09	07	Algeria	Tanzania	0	0	FQ		-18	1693	1342	−4	+7	44	119
2023	09	12	Senegal	Algeria	0	1	F		-14	1736	1707	−1	+4	34	39
2023	10	12	Algeria	Cape Verde	5	1	F		5	1712	1491	−2	−1	41	82
2023	10	16	Algeria	Egypt	1	1	F	AE	-1	1711	1676	+1	0	40	47
2023	11	16	Algeria	Somalia	3	1	WQ		0	1711	897	+2	0	41	200
2023	11	19	Mozambique	Algeria	0	2	WQ		-12	1354	1723	−5	+2	117	39
2024	01	05	Togo	Algeria	0	3	F		-7	1387	1730	−2	+1	107	38
2024	01	09	Algeria	Burundi	4	0	F	TG	3	1733	1284	+1	−1	36	145
2024	01	15	Algeria	Angola	1	1	AR	CI	-18	1715	1426	−3	+2	39	99
2024	01	20	Algeria	Burkina Faso	2	2	AR	CI	-9	1706	1593	−2	0	40	63
2024	01	23	Mauritania	Algeria	1	0	AR	CI	44	1407	1662	+7	−8	105	48
2024	03	22	Algeria	Bolivia	3	2	FFS		9	1671	1602	+2	−2	46	62
2024	03	26	Algeria	South Africa	3	3	FFS		-8	1663	1571	−2	+1	48	66
2024	06	06	Algeria	Guinea	1	2	WQ		-34	1629	1510	−6	+10	53	80
2024	06	10	Uganda	Algeria	1	2	WQ		-12	1361	1641	−4	+3	115	51
2024	09	05	Algeria	Equatorial Guinea	2	0	FQ		15	1656	1536	0	−5	52	77
2024	09	10	Liberia	Algeria	0	3	FQ		-12	1264	1668	−1	+3	146	50
2024	10	10	Algeria	Togo	5	1	FQ		7	1675	1365	0	−1	50	114
2024	10	14	Togo	Algeria	0	1	FQ		-9	1356	1684	−3	+1	118	48
2024	11	14	Equatorial Guinea	Algeria	0	0	FQ		3	1541	1681	+1	+1	74	47
2024	11	17	Algeria	Liberia	5	1	FQ		4	1685	1265	+1	−1	47	147
2025	03	21	Botswana	Algeria	1	3	WQ		-13	1342	1698	−4	+2	126	46
2025	03	25	Algeria	Mozambique	5	1	WQ		10	1708	1463	+1	−1	45	88
2025	06	05	Algeria	Rwanda	2	0	F		2	1710	1320	0	−2	45	132
2025	06	10	Sweden	Algeria	4	3	F		6	1760	1704	+1	+1	33	43
2025	09	04	Algeria	Botswana	3	1	WQ		4	1708	1348	+1	−1	41	122
2025	09	08	Algeria	Guinea	0	0	WQ	MA	-12	1696	1466	−3	+3	46	86
2025	10	09	Algeria	Somalia	3	0	WQ		0	1696	906	0	+1	46	198
2025	10	14	Algeria	Uganda	2	1	WQ		4	1700	1432	+3	−1	43	96
2025	11	13	Algeria	Zimbabwe	3	1	F	SA	3	1703	1336	0	−1	43	127
2025	11	18	Saudi Arabia	Algeria	0	2	F		-15	1578	1718	−3	+3	67	40
2025	12	03	Algeria	Sudan	0	0	ARC	QA	-15	1703	1396	−3	+4	43	105
2025	12	06	Algeria	Bahrain	5	1	ARC	QA	11	1714	1389	+1	−1	42	105
2025	12	09	Algeria	Iraq	2	0	ARC	QA	22	1736	1598	+6	−3	36	63
2025	12	12	Algeria	United Arab Emirates	1	1	ARC	QA	-10	1726	1548	−4	+2	40	74
2025	12	24	Algeria	Sudan	3	0	AR	MA	9	1735	1344	+4	−1	36	116
2025	12	28	Algeria	Burkina Faso	1	0	AR	MA	14	1749	1551	+2	−1	34	73
2025	12	31	Algeria	Equatorial Guinea	3	1	AR	MA	8	1757	1383	+1	−1	33	107
2026	01	06	Algeria	DR Congo	1	0	AR	MA	18	1775	1639	+3	−4	30	58
2026	01	10	Nigeria	Algeria	2	0	AR	MA	47	1731	1728	+12	−11	38	41
2026	03	27	Algeria	Guatemala	7	0	F	IT	11	1739	1514	+3	−1	37	80
2026	03	31	Algeria	Uruguay	0	0	F	IT	4	1743	1892	0	−2	35	15
2026	06	03	Netherlands	Algeria	0	1	F		-17	1944	1760	0	+2	8	32
