year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	24	Austria	Azerbaijan	4	1	EQ		5	1756	1418	+2	0	31	97
2023	03	27	Austria	Estonia	2	1	EQ		3	1759	1444	0	−2	31	94
2023	06	17	Belgium	Austria	1	1	EQ		-15	1972	1774	0	+3	9	29
2023	06	20	Austria	Sweden	2	0	EQ		20	1794	1736	+2	−2	27	35
2023	09	07	Austria	Moldova	1	1	F		-9	1785	1288	0	+3	28	138
2023	09	12	Sweden	Austria	1	3	EQ		-36	1720	1821	−5	+3	37	25
2023	10	13	Austria	Belgium	2	3	EQ		-16	1805	1999	−3	0	26	7
2023	10	16	Azerbaijan	Austria	0	1	EQ		-8	1448	1813	−1	0	92	25
2023	11	16	Estonia	Austria	0	2	EQ		-8	1370	1821	+2	+1	110	23
2023	11	21	Austria	Germany	2	0	F		14	1835	1885	+3	0	18	14
2024	03	23	Slovakia	Austria	0	2	F		-12	1649	1847	−1	+1	50	17
2024	03	26	Austria	Turkey	6	1	F		10	1857	1749	+1	0	16	31
2024	06	04	Austria	Serbia	2	1	F		5	1862	1783	0	0	16	24
2024	06	08	Switzerland	Austria	1	1	F		-1	1804	1863	0	0	21	15
2024	06	17	France	Austria	1	0	EC	DE	11	2087	1852	0	−1	2	16
2024	06	21	Austria	Poland	3	1	EC	DE	25	1877	1709	+2	−5	14	42
2024	06	25	Austria	Netherlands	3	2	EC	DE	33	1910	1959	0	−2	14	10
2024	07	02	Turkey	Austria	2	1	EC	DE	34	1818	1876	+6	−2	19	15
2024	09	06	Slovenia	Austria	1	1	ENB		0	1771	1876	0	0	27	14
2024	09	09	Norway	Austria	2	1	ENB		23	1747	1853	+5	−4	32	18
2024	10	10	Austria	Kazakhstan	4	0	ENB		4	1857	1453	+2	0	16	92
2024	10	13	Austria	Norway	5	1	ENB		19	1876	1756	+1	−4	15	32
2024	11	14	Kazakhstan	Austria	0	2	ENB		-8	1435	1884	−2	0	96	14
2024	11	17	Austria	Slovenia	1	1	ENB		-13	1871	1727	−1	+4	15	40
2025	03	20	Austria	Serbia	1	1	EAB		-9	1862	1818	−1	+2	16	19
2025	03	23	Serbia	Austria	2	0	EAB		25	1843	1837	+3	−3	16	19
2025	06	07	Austria	Romania	2	1	WQ		8	1845	1677	0	0	18	48
2025	06	10	San Marino	Austria	0	4	WQ		0	845	1845	+1	+1	204	18
2025	09	06	Austria	Cyprus	1	0	WQ		1	1846	1298	0	+1	21	136
2025	09	09	Bosnia and Herzegovina	Austria	1	2	WQ		-9	1517	1855	−1	+1	77	19
2025	10	09	Austria	San Marino	10	0	WQ		0	1855	841	0	0	19	205
2025	10	12	Romania	Austria	1	0	WQ		26	1677	1829	+3	−4	50	22
2025	11	15	Cyprus	Austria	0	2	WQ		-5	1320	1834	−2	+1	133	21
2025	11	18	Austria	Bosnia and Herzegovina	1	1	WQ		-16	1818	1572	−2	+5	23	68
2026	03	27	Austria	Ghana	5	1	F		3	1821	1506	0	−1	23	81
2026	03	31	Austria	South Korea	1	0	F		6	1827	1752	0	−1	23	32
2026	06	01	Austria	Tunisia	1	0	F		3	1830	1633	0	−1	23	59
