year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	25	Morocco	Brazil	2	1	F		14	1880	2119	0	0	16	2
2023	06	17	Brazil	Guinea	4	1	F	ES	1	2120	1416	0	−1	2	101
2023	06	20	Senegal	Brazil	4	2	F	PT	27	1767	2093	+5	−1	30	3
2023	09	08	Brazil	Bolivia	5	1	WQ		2	2095	1601	0	0	3	61
2023	09	12	Peru	Brazil	0	1	WQ		-12	1829	2107	−4	+1	23	2
2023	10	12	Brazil	Venezuela	1	1	WQ		-18	2089	1728	−1	0	3	38
2023	10	17	Uruguay	Brazil	2	0	WQ		36	1950	2053	+4	0	9	3
2023	11	16	Colombia	Brazil	2	1	WQ		21	1962	2032	+1	0	10	3
2023	11	21	Brazil	Argentina	0	1	WQ		-21	2011	2139	−2	+1	6	1
2024	03	23	England	Brazil	0	1	F		-13	2001	2024	−2	+2	7	4
2024	03	26	Spain	Brazil	3	3	F		-3	2020	2027	+1	+1	4	3
2024	06	08	Brazil	Mexico	3	2	F	US	4	2031	1791	0	0	3	23
2024	06	12	United States	Brazil	1	1	F		4	1789	2027	0	0	24	3
2024	06	24	Brazil	Costa Rica	0	0	CA	US	-21	2006	1640	−1	+7	6	52
2024	06	28	Brazil	Paraguay	4	1	CA	US	13	2019	1690	+1	−2	5	45
2024	07	02	Brazil	Colombia	1	1	CA	US	1	2020	2029	0	0	6	4
2024	07	06	Brazil	Uruguay	0	0	CA	US	0	2020	2026	0	0	6	5
2024	09	06	Brazil	Ecuador	1	0	WQ		8	2028	1862	+1	0	4	16
2024	09	10	Paraguay	Brazil	1	0	WQ		32	1710	1996	+7	−1	42	5
2024	10	10	Chile	Brazil	1	2	WQ		-9	1680	2005	0	0	48	5
2024	10	15	Brazil	Peru	4	0	WQ		8	2013	1733	0	−3	5	37
2024	11	14	Venezuela	Brazil	1	1	WQ		8	1773	2005	−2	0	32	5
2024	11	19	Brazil	Uruguay	1	1	WQ		-9	1996	1948	+1	+1	5	9
2025	03	20	Brazil	Colombia	2	1	WQ		13	2009	1964	+1	−1	4	8
2025	03	25	Argentina	Brazil	4	1	WQ		16	2141	1993	0	0	2	5
2025	06	05	Ecuador	Brazil	0	0	WQ		-1	1909	1994	+1	0	12	6
2025	06	10	Brazil	Paraguay	1	0	WQ		7	2001	1824	+1	−1	5	23
2025	09	04	Brazil	Chile	3	0	WQ		6	2007	1683	0	−2	5	49
2025	09	09	Bolivia	Brazil	1	0	WQ		32	1689	1975	+3	−2	49	7
2025	10	10	South Korea	Brazil	0	5	F		-14	1760	1989	−5	+1	34	6
2025	10	14	Japan	Brazil	3	2	F		11	1871	1978	+1	0	17	7
2025	11	15	Brazil	Senegal	2	0	F	EN	8	1986	1801	0	0	6	24
2025	11	18	Brazil	Tunisia	1	1	F	FR	-8	1978	1650	0	+2	6	52
2026	03	26	France	Brazil	2	1	F	US	8	2070	1970	0	−1	3	7
2026	03	31	Brazil	Croatia	3	1	F	US	14	1984	1930	+2	−1	5	10
2026	05	31	Brazil	Panama	6	2	F		4	1988	1733	0	0	5	36
2026	06	06	Brazil	Egypt	2	1	F	US	3	1991	1696	0	−1	5	48
