year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	25	Curaçao	Canada	0	2	CLA		-12	1350	1723	−1	0	117	40
2023	03	28	Canada	Honduras	4	1	CLA		9	1732	1472	+1	−2	38	84
2023	06	15	Canada	Panama	2	0	CNL	US	25	1757	1646	+5	−1	33	52
2023	06	18	United States	Canada	2	0	CNL		16	1849	1741	+3	−1	18	34
2023	06	27	Canada	Guadeloupe	2	2	CCH		-23	1718	1268	−5	+7	39	144
2023	07	01	Canada	Guatemala	0	0	CCH	US	-14	1704	1504	−2	+5	41	79
2023	07	04	Canada	Cuba	4	2	CCH	US	6	1710	1268	+1	−1	40	144
2023	07	09	United States	Canada	2	2	CCH		-14	1819	1724	−3	+2	24	38
2023	10	13	Japan	Canada	4	1	F		6	1894	1718	0	−2	14	41
2023	11	18	Jamaica	Canada	1	2	CLA		-19	1585	1737	−2	+1	63	37
2023	11	21	Canada	Jamaica	2	3	CLA		-32	1705	1617	−6	+6	43	56
2024	03	23	Canada	Trinidad and Tobago	2	0	CAQ	US	10	1715	1417	+5	−1	38	101
2024	06	06	Netherlands	Canada	4	0	F		4	1972	1711	0	−1	10	40
2024	06	09	France	Canada	0	0	F		-9	2076	1720	0	+1	2	39
2024	06	20	Argentina	Canada	2	0	CA	US	6	2151	1714	0	0	1	40
2024	06	25	Canada	Peru	1	0	CA	US	27	1741	1716	+6	−8	33	40
2024	06	29	Canada	Chile	0	0	CA	US	-1	1740	1723	0	0	32	40
2024	07	05	Canada	Venezuela	1	1	CA	US	6	1746	1820	+2	0	31	18
2024	07	09	Argentina	Canada	2	0	CA	US	7	2150	1739	0	−2	1	33
2024	07	13	Canada	Uruguay	2	2	CA	US	16	1755	1986	+2	−1	31	7
2024	09	07	United States	Canada	1	2	F		-13	1733	1768	−2	+1	34	28
2024	09	10	Canada	Mexico	0	0	F	US	1	1769	1792	0	0	28	21
2024	10	15	Canada	Panama	2	1	F		6	1775	1713	+1	0	29	42
2024	11	15	Suriname	Canada	0	1	CNL		-6	1359	1781	−3	+2	117	29
2024	11	19	Canada	Suriname	3	0	CNL		3	1784	1356	+2	−1	26	121
2025	03	20	Mexico	Canada	2	0	CNL	US	31	1800	1753	+9	−8	24	34
2025	03	23	United States	Canada	1	2	CNL		-25	1722	1778	−5	+5	40	29
2025	06	07	Canada	Ukraine	4	2	CDS		18	1796	1791	+2	−2	27	28
2025	06	10	Canada	Ivory Coast	0	0	CDS		-11	1785	1587	−2	0	29	65
2025	06	17	Canada	Honduras	6	0	CCH		14	1799	1548	+2	−5	27	73
2025	06	21	Canada	Curaçao	1	1	CCH	US	-21	1778	1410	−3	+8	30	98
2025	06	24	Canada	El Salvador	2	0	CCH	US	6	1784	1362	0	−2	30	119
2025	06	29	Canada	Guatemala	1	1	CCH	US	-16	1768	1533	−2	+3	32	75
2025	09	05	Romania	Canada	0	3	F		-18	1663	1786	−1	+1	51	30
2025	09	09	Wales	Canada	0	1	F		-11	1724	1797	−2	+2	38	27
2025	10	10	Canada	Australia	0	1	F		-13	1784	1803	−3	+2	29	26
2025	10	14	Canada	Colombia	0	0	F	US	5	1789	1988	0	0	28	6
2025	11	13	Canada	Ecuador	0	0	F		1	1790	1929	+1	0	27	9
2025	11	18	Canada	Venezuela	2	0	F	US	12	1802	1715	+1	−3	25	41
2026	01	17	Canada	Guatemala	1	0	F	US	3	1805	1525	0	−2	25	79
2026	03	28	Canada	Iceland	2	2	FT		-11	1794	1573	0	+2	25	68
2026	03	31	Canada	Tunisia	0	0	FT		-10	1784	1636	0	+3	25	58
2026	06	01	Canada	Uzbekistan	2	0	F		9	1793	1718	+1	−1	25	40
2026	06	05	Canada	Ireland	1	1	F		-5	1788	1699	0	+2	25	47
