year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	01	28	United States	Colombia	0	0	F		0	1805	1919	0	0	24	12
2023	03	24	South Korea	Colombia	2	2	F		1	1789	1918	0	0	26	12
2023	03	28	Japan	Colombia	1	2	F		-11	1839	1929	−1	0	19	12
2023	06	16	Colombia	Iraq	1	0	F	ES	3	1932	1617	+1	−2	10	57
2023	06	20	Germany	Colombia	0	2	F		-19	1913	1951	−2	0	13	11
2023	09	07	Colombia	Venezuela	1	0	WQ		5	1956	1694	0	0	11	43
2023	09	12	Chile	Colombia	0	0	WQ		9	1707	1947	+2	−1	39	11
2023	10	12	Colombia	Uruguay	2	2	WQ		-8	1939	1914	0	0	11	12
2023	10	17	Ecuador	Colombia	0	0	WQ		-2	1876	1941	0	0	15	11
2023	11	16	Colombia	Brazil	2	1	WQ		21	1962	2032	+1	0	10	3
2023	11	21	Paraguay	Colombia	0	1	WQ		-12	1705	1974	−2	+1	42	9
2023	12	10	Colombia	Venezuela	1	0	F	US	5	1979	1755	0	−2	9	33
2023	12	16	Colombia	Mexico	3	2	F	US	5	1984	1794	0	−1	9	25
2024	03	22	Colombia	Spain	1	0	F	EN	11	1995	2023	+1	0	8	4
2024	03	26	Colombia	Romania	3	2	F	ES	3	1998	1664	+2	0	6	47
2024	06	08	United States	Colombia	1	5	F		-13	1785	2011	−2	+1	24	5
2024	06	15	Colombia	Bolivia	3	0	F	US	3	2014	1591	0	0	5	62
2024	06	24	Colombia	Paraguay	2	1	CA	US	7	2021	1703	+1	−1	5	41
2024	06	28	Colombia	Costa Rica	3	0	CA	US	9	2030	1631	0	−2	4	54
2024	07	02	Brazil	Colombia	1	1	CA	US	1	2020	2029	0	0	6	4
2024	07	06	Colombia	Panama	5	0	CA	US	16	2045	1730	0	−7	4	38
2024	07	10	Colombia	Uruguay	1	0	CA	US	24	2069	2002	+1	−1	3	6
2024	07	14	Argentina	Colombia	1	0	CA	US	19	2169	2050	0	0	1	3
2024	09	06	Peru	Colombia	1	1	WQ		12	1721	2038	+1	0	39	3
2024	09	10	Colombia	Argentina	2	1	WQ		22	2060	2150	0	−1	3	2
2024	10	10	Bolivia	Colombia	1	0	WQ		35	1671	2025	+4	0	51	3
2024	10	15	Colombia	Chile	4	0	WQ		5	2030	1675	0	−1	4	50
2024	11	15	Uruguay	Colombia	3	2	WQ		21	1939	2009	0	−1	11	4
2024	11	19	Colombia	Ecuador	0	1	WQ		-32	1977	1909	−3	+2	7	12
2025	03	20	Brazil	Colombia	2	1	WQ		13	2009	1964	+1	−1	4	8
2025	03	25	Colombia	Paraguay	2	2	WQ		-13	1951	1799	0	+1	9	27
2025	06	06	Colombia	Peru	0	0	WQ		-15	1936	1739	0	+2	9	37
2025	06	10	Argentina	Colombia	1	1	WQ		-14	2132	1950	0	0	2	8
2025	09	04	Colombia	Bolivia	3	0	WQ		7	1957	1657	0	0	8	52
2025	09	09	Venezuela	Colombia	3	6	WQ		-24	1717	1981	−6	+2	40	6
2025	10	11	Colombia	Mexico	4	0	F	US	12	1993	1847	+1	−1	6	19
2025	10	14	Canada	Colombia	0	0	F	US	5	1789	1988	0	0	28	6
2025	11	15	Colombia	New Zealand	2	1	F	US	2	1990	1589	0	−1	5	66
2025	11	18	Colombia	Australia	3	0	F	US	8	1998	1773	0	−1	5	30
2026	03	26	Croatia	Colombia	2	1	F	US	12	1944	1986	+1	0	9	5
2026	03	29	France	Colombia	3	1	F	US	11	2081	1975	0	0	3	5
2026	06	01	Colombia	Costa Rica	3	1	F		2	1977	1611	0	−1	7	62
2026	06	07	Colombia	Jordan	2	0	F	US	5	1982	1680	0	−2	7	52
