year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	24	Czechia	Poland	3	1	EQ		23	1801	1778	+2	−3	25	28
2023	03	27	Moldova	Czechia	0	0	EQ		17	1248	1784	+6	−2	148	27
2023	06	17	Faroe Islands	Czechia	0	3	EQ		-7	1299	1791	−1	+1	137	26
2023	06	20	Montenegro	Czechia	1	4	F		-11	1548	1802	−1	+1	70	25
2023	09	07	Czechia	Albania	1	1	EQ		-15	1787	1577	−1	+2	27	66
2023	09	10	Hungary	Czechia	1	1	F		-4	1844	1791	−1	0	18	27
2023	10	12	Albania	Czechia	3	0	EQ		43	1657	1748	+8	−5	49	33
2023	10	15	Czechia	Faroe Islands	1	0	EQ		1	1749	1247	+1	+1	31	152
2023	11	17	Poland	Czechia	1	1	EQ		-4	1707	1753	−1	0	42	32
2023	11	20	Czechia	Moldova	3	0	EQ		3	1756	1338	+2	−1	32	125
2024	03	22	Norway	Czechia	1	2	F		-13	1742	1769	−2	+2	34	29
2024	03	26	Czechia	Armenia	2	1	F		2	1771	1455	+1	−1	28	94
2024	06	07	Czechia	Malta	7	1	F	AT	2	1773	1258	+1	−2	26	153
2024	06	10	Czechia	North Macedonia	2	1	F		3	1776	1546	0	−2	26	74
2024	06	18	Portugal	Czechia	2	1	EC	DE	11	2013	1765	0	−4	6	30
2024	06	22	Czechia	Georgia	1	1	EC	DE	-9	1756	1646	−2	+2	32	50
2024	06	26	Turkey	Czechia	2	1	EC	DE	25	1784	1731	+5	−5	25	37
2024	09	07	Georgia	Czechia	4	1	ENB		28	1733	1703	+9	−8	34	43
2024	09	10	Czechia	Ukraine	3	2	ENB		19	1722	1767	+4	−7	39	29
2024	10	11	Czechia	Albania	2	0	ENB		15	1737	1623	+4	−1	36	56
2024	10	14	Czechia	Ukraine	1	1	ENB	PL	3	1740	1783	0	−2	35	26
2024	11	16	Albania	Czechia	0	0	ENB		-1	1653	1741	0	0	52	35
2024	11	19	Czechia	Georgia	2	1	ENB		12	1753	1692	+1	−3	35	47
2025	03	22	Czechia	Faroe Islands	2	1	WQ		1	1754	1276	0	−1	33	146
2025	03	25	Czechia	Gibraltar	4	0	WQ	PT	1	1755	1052	+1	0	31	180
2025	06	06	Czechia	Montenegro	2	0	WQ		8	1763	1519	+2	−2	31	78
2025	06	09	Croatia	Czechia	5	1	WQ		14	1926	1749	+1	−4	9	35
2025	09	05	Montenegro	Czechia	0	2	WQ		-19	1494	1768	−2	+3	81	32
2025	09	08	Czechia	Saudi Arabia	1	1	F		-7	1761	1587	0	+2	33	65
2025	10	09	Czechia	Croatia	0	0	WQ		4	1765	1927	−1	0	34	10
2025	10	12	Faroe Islands	Czechia	2	1	WQ		35	1370	1730	+15	−4	113	36
2025	11	13	Czechia	San Marino	1	0	F		0	1730	833	−1	0	36	207
2025	11	17	Czechia	Gibraltar	6	0	WQ		1	1731	1017	−1	0	37	183
2026	03	26	Czechia	Ireland	2	2	WQ		-8	1723	1696	−4	+1	42	48
2026	03	31	Czechia	Denmark	2	2	WQ		3	1726	1870	+2	0	40	18
2026	05	31	Czechia	Kosovo	2	1	F		7	1733	1714	+4	−1	36	42
2026	06	04	Czechia	Guatemala	3	1	F	US	7	1740	1507	+2	−2	35	82
