year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	24	DR Congo	Mauritania	3	1	FQ		17	1470	1372	+4	−4	86	110
2023	03	28	Mauritania	DR Congo	1	1	FQ		0	1372	1470	−1	−1	111	85
2023	06	14	DR Congo	Uganda	1	0	F	CM	8	1478	1381	+1	0	82	108
2023	06	18	Gabon	DR Congo	0	2	FQ		-38	1431	1516	−9	+7	96	78
2023	09	09	DR Congo	Sudan	2	0	FQ		8	1524	1284	+4	−3	73	142
2023	09	12	South Africa	DR Congo	1	0	F		7	1524	1517	+2	−3	73	76
2023	10	13	DR Congo	New Zealand	1	1	F	ES	1	1518	1534	+2	0	73	72
2023	10	17	Angola	DR Congo	0	0	F	PT	4	1388	1514	+1	−2	108	75
2023	11	15	DR Congo	Mauritania	2	0	WQ		15	1529	1403	+3	−3	72	103
2023	11	19	Sudan	DR Congo	1	0	WQ	LY	32	1322	1497	+12	−5	130	79
2024	01	06	Angola	DR Congo	0	0	F	AE	3	1388	1494	+1	−2	107	80
2024	01	10	Burkina Faso	DR Congo	2	1	F	AE	8	1570	1486	+3	−3	64	83
2024	01	17	DR Congo	Zambia	1	1	AR	CI	0	1486	1492	0	−1	84	82
2024	01	21	DR Congo	Morocco	1	1	AR	CI	20	1506	1832	+6	−4	78	20
2024	01	24	DR Congo	Tanzania	0	0	AR	CI	-10	1496	1362	−5	+3	83	113
2024	01	28	DR Congo	Egypt	1	1	AR	CI	10	1506	1639	+4	−2	79	53
2024	02	02	DR Congo	Guinea	3	1	AR	CI	37	1543	1462	+7	−9	72	92
2024	02	07	Ivory Coast	DR Congo	1	0	AR		16	1596	1527	0	0	64	72
2024	02	10	DR Congo	South Africa	0	0	AR	CI	4	1531	1576	0	0	72	66
2024	06	06	Senegal	DR Congo	1	1	WQ		-15	1761	1546	−5	+2	30	72
2024	06	09	DR Congo	Togo	1	0	WQ		7	1553	1370	+4	−3	69	112
2024	09	06	DR Congo	Guinea	1	0	FQ		11	1564	1471	+4	−1	69	89
2024	09	09	DR Congo	Ethiopia	2	0	FQ	TZ	11	1575	1298	+3	−2	65	141
2024	10	10	DR Congo	Tanzania	1	0	FQ		7	1582	1387	+3	−2	63	108
2024	10	15	Tanzania	DR Congo	0	2	FQ		-22	1365	1604	−6	+7	114	58
2024	11	16	Guinea	DR Congo	1	0	FQ	CI	27	1511	1577	+5	−7	80	67
2024	11	19	DR Congo	Ethiopia	1	2	FQ		-37	1540	1275	−9	+5	74	148
2025	03	21	DR Congo	South Sudan	1	0	WQ		2	1542	1119	0	−3	74	172
2025	03	25	Mauritania	DR Congo	0	2	WQ		-24	1346	1566	−5	+8	122	65
2025	06	05	DR Congo	Mali	1	0	F	FR	11	1577	1601	+2	−1	65	59
2025	06	08	DR Congo	Madagascar	3	1	F	FR	6	1583	1318	0	−3	64	135
2025	09	05	South Sudan	DR Congo	1	4	WQ		-8	1125	1591	−2	+3	171	63
2025	09	09	DR Congo	Senegal	2	3	WQ		-15	1576	1803	−5	+2	68	25
2025	10	10	Togo	DR Congo	0	1	WQ		-14	1349	1590	−6	+5	121	63
2025	10	14	DR Congo	Sudan	1	0	WQ		6	1596	1368	−1	−3	65	113
2025	11	13	DR Congo	Cameroon	1	0	WQ	MA	19	1615	1559	+6	−1	59	70
2025	11	16	DR Congo	Nigeria	1	1	WQ	MA	1	1616	1627	−1	−1	59	58
2025	12	16	DR Congo	Zambia	2	0	F	ES	6	1622	1359	+1	−1	58	113
2025	12	23	DR Congo	Benin	1	0	AR	MA	13	1635	1421	+2	−4	56	98
2025	12	27	DR Congo	Senegal	1	1	AR	MA	12	1647	1797	+1	−2	55	26
2025	12	30	DR Congo	Botswana	3	0	AR	MA	10	1657	1285	+1	−4	54	144
2026	01	06	Algeria	DR Congo	1	0	AR	MA	18	1775	1639	+3	−4	30	58
2026	03	25	DR Congo	Bermuda	2	0	F	MX	1	1640	1119	0	−1	57	172
2026	03	31	DR Congo	Jamaica	1	0	WQ	MX	15	1655	1535	+3	−4	54	76
2026	06	03	Denmark	DR Congo	0	0	F	BE	-6	1864	1661	−2	0	20	54
