year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	01	06	Iraq	Oman	0	0	GLF		-6	1569	1573	−2	+1	68	67
2023	01	09	Iraq	Saudi Arabia	2	0	GLF		28	1597	1618	+6	−3	62	56
2023	01	12	Iraq	Yemen	5	0	GLF		2	1599	1093	+1	0	61	177
2023	01	16	Iraq	Qatar	2	1	GLF		12	1611	1545	+1	−1	60	69
2023	01	19	Iraq	Oman	3	2	GLF		15	1626	1598	+5	−3	55	62
2023	03	26	Russia	Iraq	2	0	F		6	1763	1620	0	0	30	55
2023	06	16	Colombia	Iraq	1	0	F	ES	3	1932	1617	+1	−2	10	57
2023	09	07	India	Iraq	2	2	KNG	TH	11	1282	1606	+4	−4	142	60
2023	09	10	Thailand	Iraq	2	2	KNG		5	1390	1601	0	−2	110	61
2023	10	13	Iraq	Qatar	0	0	FT	JO	-4	1597	1515	0	+2	61	75
2023	10	17	Jordan	Iraq	2	2	FT		-3	1560	1600	0	0	66	62
2023	11	16	Iraq	Indonesia	5	1	WQS		7	1607	1293	+2	−4	60	142
2023	11	21	Vietnam	Iraq	0	1	WQS		-14	1393	1621	−2	+4	106	55
2024	01	06	South Korea	Iraq	1	0	F	AE	5	1804	1616	+2	−3	22	58
2024	01	15	Iraq	Indonesia	3	1	AC	QA	9	1625	1253	+2	−3	55	154
2024	01	19	Iraq	Japan	2	1	AC	QA	42	1667	1871	+7	−2	48	15
2024	01	24	Iraq	Vietnam	3	2	AC	QA	7	1674	1336	+2	−4	45	126
2024	01	29	Jordan	Iraq	3	2	AC	QA	35	1554	1639	+5	−7	69	52
2024	03	21	Iraq	Philippines	1	0	WQS		1	1640	1052	0	+1	51	182
2024	03	26	Philippines	Iraq	0	5	WQS		-5	1047	1645	+1	0	181	53
2024	06	06	Indonesia	Iraq	0	2	WQS		-14	1327	1659	−6	+6	127	47
2024	06	11	Iraq	Vietnam	3	1	WQS		4	1663	1272	0	−2	49	149
2024	09	05	Iraq	Oman	1	0	WQ		8	1671	1523	0	−1	49	78
2024	09	10	Kuwait	Iraq	0	0	WQ		11	1355	1660	+6	−3	119	53
2024	10	10	Iraq	Palestine	1	0	WQ		5	1665	1405	0	−4	53	105
2024	10	15	South Korea	Iraq	3	2	WQ		9	1782	1656	+1	−1	28	53
2024	11	14	Iraq	Jordan	0	0	WQ		-7	1649	1627	0	0	53	56
2024	11	19	Oman	Iraq	0	1	WQ		-18	1489	1667	−3	+4	82	50
2024	12	22	Iraq	Yemen	1	0	GLF	KW	1	1668	1091	0	−1	50	176
2024	12	25	Bahrain	Iraq	2	0	GLF	KW	45	1528	1623	+8	−4	77	54
2024	12	28	Saudi Arabia	Iraq	3	1	GLF	KW	39	1559	1584	+8	−7	70	61
2025	03	20	Iraq	Kuwait	2	2	WQ		-16	1568	1337	−6	+3	66	128
2025	03	25	Palestine	Iraq	2	1	WQ	JO	29	1427	1539	+9	−8	96	74
2025	06	05	Iraq	South Korea	0	2	WQ		-21	1518	1767	−4	+2	79	30
2025	06	10	Jordan	Iraq	0	1	WQ		-32	1624	1550	−6	+6	57	72
2025	09	04	Iraq	Hong Kong	2	1	KNG	TH	3	1553	1134	0	−1	71	167
2025	09	07	Thailand	Iraq	0	1	KNG		-11	1351	1564	−4	+3	120	70
2025	10	11	Iraq	Indonesia	1	0	WQ	SA	9	1573	1341	0	−4	69	124
2025	10	14	Saudi Arabia	Iraq	0	0	WQ		-7	1585	1580	−4	+1	67	68
2025	11	13	United Arab Emirates	Iraq	1	1	WQ		-4	1544	1584	0	+1	73	67
2025	11	18	Iraq	United Arab Emirates	2	1	WQ		12	1596	1532	+3	−2	64	76
2025	12	03	Iraq	Bahrain	2	1	ARC	QA	10	1606	1400	+1	−4	63	104
2025	12	06	Iraq	Sudan	2	0	ARC	QA	14	1620	1382	+4	−3	59	108
2025	12	09	Algeria	Iraq	2	0	ARC	QA	22	1736	1598	+6	−3	36	63
2025	12	12	Jordan	Iraq	1	0	ARC	QA	16	1685	1582	+1	−3	49	67
2026	03	31	Iraq	Bolivia	2	1	WQ	MX	25	1607	1645	+5	−5	63	57
2026	05	29	Iraq	Andorra	1	0	F	ES	1	1608	1076	0	0	63	175
