year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	28	Jordan	Philippines	4	0	F	QA	2	1592	1045	0	−1	65	184
2023	06	16	Serbia	Jordan	3	2	F	AT	3	1867	1589	0	0	16	65
2023	06	19	Jordan	Jamaica	2	1	F	AT	9	1598	1529	0	−1	63	74
2023	09	07	Norway	Jordan	6	0	F		9	1735	1589	+2	0	35	62
2023	09	12	Azerbaijan	Jordan	2	1	F		12	1417	1577	+6	−1	101	65
2023	10	13	Jordan	Iran	1	3	FT		-14	1563	1823	−1	+3	66	23
2023	10	17	Jordan	Iraq	2	2	FT		-3	1560	1600	0	0	66	62
2023	11	16	Tajikistan	Jordan	1	1	WQS		5	1369	1555	+4	−1	111	67
2023	11	21	Jordan	Saudi Arabia	0	2	WQS		-39	1516	1586	−8	+7	75	63
2023	12	28	Lebanon	Jordan	2	1	F		13	1312	1503	+7	−1	134	76
2024	01	05	Qatar	Jordan	1	2	F		-14	1520	1517	−3	+1	73	75
2024	01	09	Japan	Jordan	6	1	F	QA	4	1910	1513	0	0	13	75
2024	01	15	Jordan	Malaysia	4	0	AC	QA	22	1535	1283	+5	−9	69	145
2024	01	20	Jordan	South Korea	2	2	AC	QA	17	1552	1795	+3	−3	67	25
2024	01	25	Bahrain	Jordan	1	0	AC	QA	33	1466	1519	+6	−6	92	73
2024	01	29	Jordan	Iraq	3	2	AC	QA	35	1554	1639	+5	−7	69	52
2024	02	02	Jordan	Tajikistan	1	0	AC	QA	15	1569	1385	+6	−3	64	108
2024	02	06	Jordan	South Korea	2	0	AC	QA	58	1627	1730	+9	−11	56	36
2024	02	10	Qatar	Jordan	3	1	AC		30	1631	1597	+8	−7	55	63
2024	03	21	Pakistan	Jordan	0	3	WQS		-1	830	1598	0	+1	207	63
2024	03	26	Jordan	Pakistan	7	0	WQS		1	1599	829	0	0	64	207
2024	06	06	Jordan	Tajikistan	3	0	WQS		10	1609	1378	0	0	63	108
2024	06	11	Saudi Arabia	Jordan	1	2	WQS		-26	1588	1635	−3	+9	63	53
2024	08	27	Jordan	North Korea	0	0	F		-7	1628	1404	−3	+3	56	104
2024	08	29	Jordan	North Korea	2	1	F		3	1631	1401	+2	−1	54	105
2024	09	05	Jordan	Kuwait	1	1	WQ		-16	1615	1344	−4	−1	58	129
2024	09	10	Jordan	Palestine	3	1	WQ	MY	15	1630	1410	−1	−2	57	101
2024	10	10	Jordan	South Korea	0	2	WQ		-29	1601	1773	−2	+7	59	28
2024	10	15	Jordan	Oman	4	0	WQ		19	1620	1497	+4	−1	56	82
2024	11	14	Iraq	Jordan	0	0	WQ		-7	1649	1627	0	0	53	56
2024	11	19	Kuwait	Jordan	1	1	WQ		10	1346	1617	+2	0	125	55
2025	01	27	Jordan	Uzbekistan	0	0	F	QA	2	1619	1682	0	0	54	49
2025	03	14	Jordan	North Korea	1	1	F		-7	1612	1411	0	+4	54	101
2025	03	20	Jordan	Palestine	3	1	WQ		9	1621	1398	−2	0	56	104
2025	03	25	South Korea	Jordan	1	1	WQ		-12	1746	1633	−2	+1	32	54
2025	05	30	Saudi Arabia	Jordan	2	0	F		14	1576	1619	+3	−1	65	55
2025	06	05	Oman	Jordan	0	3	WQ		-37	1504	1656	−9	+4	81	51
2025	06	10	Jordan	Iraq	0	1	WQ		-32	1624	1550	−6	+6	57	72
2025	09	04	Russia	Jordan	0	0	F		-6	1787	1630	+1	+3	27	54
2025	09	09	Jordan	Dominican Republic	3	0	F		3	1633	1286	+1	0	56	140
2025	10	10	Bolivia	Jordan	1	0	F	TR	8	1697	1625	+3	−2	46	58
2025	10	14	Albania	Jordan	4	2	F		9	1673	1616	+3	−1	51	58
2025	11	14	Tunisia	Jordan	3	2	F		7	1642	1609	+1	−4	55	62
2025	11	18	Jordan	Mali	0	0	F	TN	0	1609	1612	+1	+1	61	60
2025	12	03	Jordan	United Arab Emirates	2	1	ARC	QA	16	1625	1516	+3	−3	58	79
2025	12	06	Jordan	Kuwait	3	1	ARC	QA	10	1635	1343	+4	−4	54	120
2025	12	09	Jordan	Egypt	3	0	ARC	QA	34	1669	1590	+5	−7	50	66
2025	12	12	Jordan	Iraq	1	0	ARC	QA	16	1685	1582	+1	−3	49	67
2025	12	15	Jordan	Saudi Arabia	1	0	ARC	QA	16	1701	1595	+5	−2	44	63
2025	12	18	Morocco	Jordan	3	2	ARC	QA	12	1854	1689	+1	−3	19	47
2026	03	27	Costa Rica	Jordan	2	2	NSM	TR	2	1634	1687	+1	0	59	50
2026	03	31	Jordan	Nigeria	2	2	NSM	TR	3	1690	1752	0	0	50	32
2026	05	31	Switzerland	Jordan	4	1	F		5	1894	1685	+1	0	15	51
2026	06	07	Colombia	Jordan	2	0	F	US	5	1982	1680	0	−2	7	52
