year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	25	Spain	Norway	3	0	EQ		9	2006	1745	+1	−3	5	35
2023	03	28	Georgia	Norway	1	1	EQ		0	1652	1745	0	0	52	36
2023	06	17	Norway	Scotland	1	2	EQ		-23	1722	1820	0	0	37	24
2023	06	20	Norway	Cyprus	3	1	EQ		4	1726	1342	0	−2	38	119
2023	09	07	Norway	Jordan	6	0	F		9	1735	1589	+2	0	35	62
2023	09	12	Norway	Georgia	2	1	EQ		10	1745	1624	+1	−3	33	54
2023	10	12	Cyprus	Norway	0	4	EQ		-11	1323	1756	−3	+2	125	31
2023	10	15	Norway	Spain	0	1	EQ		-11	1745	2029	−2	+1	33	4
2023	11	16	Norway	Faroe Islands	2	0	F		1	1746	1246	0	0	34	153
2023	11	19	Scotland	Norway	3	3	EQ		-9	1800	1755	−1	+5	25	30
2024	03	22	Norway	Czechia	1	2	F		-13	1742	1770	−2	+2	34	29
2024	03	26	Norway	Slovakia	1	1	F		-5	1737	1654	−2	+1	36	49
2024	06	05	Norway	Kosovo	3	0	F		5	1742	1505	+2	−2	34	80
2024	06	08	Denmark	Norway	3	1	F		8	1834	1734	+1	−4	18	37
2024	09	06	Kazakhstan	Norway	0	0	ENB		10	1464	1724	+1	−2	91	37
2024	09	09	Norway	Austria	2	1	ENB		23	1747	1853	+5	−4	32	18
2024	10	10	Norway	Slovenia	3	0	ENB		28	1775	1749	+6	−8	27	34
2024	10	13	Austria	Norway	5	1	ENB		19	1876	1756	+1	−4	15	32
2024	11	14	Slovenia	Norway	1	4	ENB		-45	1714	1801	−10	+11	42	22
2024	11	17	Norway	Kazakhstan	5	0	ENB		5	1806	1431	−1	0	23	94
2025	03	22	Moldova	Norway	0	5	WQ		-9	1346	1815	−2	+1	123	21
2025	03	25	Norway	Israel	4	2	WQ	HU	14	1829	1596	+2	−2	21	61
2025	06	06	Norway	Italy	3	0	WQ		33	1862	1881	+7	−3	14	13
2025	06	09	Estonia	Norway	0	1	WQ		-4	1366	1866	−1	+1	118	14
2025	09	04	Norway	Finland	1	0	F		2	1868	1554	0	0	15	70
2025	09	09	Norway	Moldova	11	1	WQ		2	1870	1300	+2	−1	15	137
2025	10	11	Norway	Israel	5	0	WQ		10	1880	1628	+1	−4	15	57
2025	10	14	Norway	New Zealand	1	1	F		-8	1872	1591	0	+1	16	66
2025	11	13	Norway	Estonia	4	1	WQ		2	1874	1341	0	0	16	123
2025	11	16	Italy	Norway	1	4	WQ		-48	1859	1922	−6	+5	18	11
2026	03	27	Netherlands	Norway	2	1	F		6	1965	1916	0	−1	8	12
2026	03	31	Norway	Switzerland	0	0	F		-4	1912	1889	0	0	12	16
2026	06	01	Norway	Sweden	3	1	F		5	1917	1714	0	0	12	41
2026	06	07	Morocco	Norway	1	1	F	US	3	1827	1914	0	0	24	11
