year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	12	Guatemala	Panama	1	1	F	US	5	1455	1640	+3	0	87	53
2023	03	23	Argentina	Panama	2	0	F		1	2145	1639	0	0	1	53
2023	03	28	Costa Rica	Panama	0	1	CLA		-31	1714	1670	−4	+2	40	51
2023	06	10	Panama	Nicaragua	3	2	F		1	1671	1278	0	0	51	141
2023	06	15	Canada	Panama	2	0	CNL	US	25	1757	1646	+5	−1	33	52
2023	06	18	Mexico	Panama	1	0	CNL	US	13	1790	1633	+1	0	27	51
2023	06	26	Panama	Costa Rica	2	1	CCH	US	29	1662	1660	+6	−3	46	48
2023	06	30	Panama	Martinique	2	1	CCH	US	11	1673	1437	0	−4	46	96
2023	07	04	El Salvador	Panama	2	2	CCH	US	14	1474	1659	0	−3	90	49
2023	07	08	Panama	Qatar	4	0	CCH	US	33	1692	1524	+4	−5	45	74
2023	07	12	United States	Panama	1	1	CCH		-14	1805	1706	−1	+3	25	42
2023	07	16	Mexico	Panama	1	0	CCH	US	17	1840	1689	+3	−3	20	45
2023	08	27	Bolivia	Panama	1	2	F		-11	1603	1700	−3	+3	61	42
2023	09	07	Panama	Martinique	3	0	CLA		7	1707	1413	+2	−2	40	101
2023	09	10	Guatemala	Panama	1	1	CLA		5	1522	1702	+1	0	74	40
2023	10	13	Curaçao	Panama	1	2	CLA		-6	1307	1708	−4	0	135	43
2023	10	17	Panama	Guatemala	3	0	CLA		10	1718	1491	+5	−3	38	80
2023	11	16	Costa Rica	Panama	0	3	CLA		-36	1587	1754	−6	+7	63	31
2023	11	20	Panama	Costa Rica	3	1	CLA		11	1765	1576	+4	−4	29	65
2024	03	21	Mexico	Panama	3	0	CNL	US	32	1826	1733	+4	−9	19	36
2024	03	24	Jamaica	Panama	1	0	CNL	US	27	1637	1706	+6	−6	55	42
2024	06	06	Panama	Guyana	2	0	WQ		3	1709	1259	+1	−1	41	152
2024	06	09	Panama	Montserrat	3	1	WQ	NI	1	1710	1015	+1	0	41	184
2024	06	16	Panama	Paraguay	0	1	F		-13	1697	1711	−1	+1	42	41
2024	06	23	Uruguay	Panama	3	1	CA	US	12	2003	1685	+1	−1	7	44
2024	06	27	United States	Panama	1	2	CA		-39	1761	1724	−8	+6	30	39
2024	07	01	Panama	Bolivia	3	1	CA	US	22	1746	1550	+8	−8	31	73
2024	07	06	Colombia	Panama	5	0	CA	US	16	2045	1730	0	−7	4	38
2024	10	12	United States	Panama	2	0	F		11	1737	1719	+4	−4	36	42
2024	10	15	Canada	Panama	2	1	F		6	1775	1713	+1	0	29	42
2024	11	14	Costa Rica	Panama	0	1	CNL		-23	1642	1736	−2	+6	54	36
2024	11	18	Panama	Costa Rica	2	2	CNL		-10	1726	1652	−3	+1	40	53
2025	02	08	Chile	Panama	6	1	F		15	1728	1711	+5	−4	39	44
2025	03	20	United States	Panama	0	1	CNL		-29	1747	1740	−7	+7	35	37
2025	03	23	Mexico	Panama	2	1	CNL	US	17	1817	1723	+2	−3	22	39
2025	06	07	Belize	Panama	0	2	WQ		-2	1058	1725	−1	0	179	39
2025	06	10	Panama	Nicaragua	3	0	WQ		4	1729	1325	+1	0	38	129
2025	06	16	Panama	Guadeloupe	5	2	CCH	US	10	1739	1366	0	−4	38	118
2025	06	20	Panama	Guatemala	1	0	CCH	US	11	1750	1502	+3	0	35	80
2025	06	24	Panama	Jamaica	4	1	CCH	US	23	1773	1546	+3	−5	32	73
2025	06	28	Panama	Honduras	1	1	CCH	US	-12	1761	1595	−1	+3	33	63
2025	09	04	Suriname	Panama	0	0	WQ		13	1399	1748	+5	−4	102	36
2025	09	08	Panama	Guatemala	1	1	WQ		-15	1733	1507	−2	+2	37	79
2025	10	10	El Salvador	Panama	0	1	WQ		-7	1363	1740	−2	0	115	35
2025	10	14	Panama	Suriname	1	1	WQ		-17	1723	1440	−2	+5	36	94
2025	11	13	Guatemala	Panama	2	3	WQ		-15	1510	1738	−4	+2	81	34
2025	11	18	Panama	El Salvador	3	0	WQ		4	1742	1324	−1	−2	35	130
2026	01	18	Bolivia	Panama	1	1	F		-1	1665	1743	0	0	51	35
2026	01	22	Panama	Mexico	0	1	F		-10	1733	1844	−3	0	38	21
2026	03	27	South Africa	Panama	1	1	F		3	1531	1730	−1	−3	79	41
2026	03	31	South Africa	Panama	1	2	F		-7	1524	1737	−1	+2	79	36
2026	05	31	Brazil	Panama	6	2	F		4	1988	1733	0	0	5	36
2026	06	03	Panama	Dominican Republic	4	2	F		1	1734	1283	0	0	36	146
2026	06	06	Bosnia and Herzegovina	Panama	1	1	F	US	4	1595	1730	0	−1	65	37
