year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	24	Senegal	Mozambique	5	1	FQ		3	1748	1316	0	−2	35	131
2023	03	28	Mozambique	Senegal	0	1	FQ		-5	1311	1753	−2	+1	133	34
2023	06	17	Benin	Senegal	1	1	FQ		13	1386	1740	+3	+1	108	35
2023	06	20	Senegal	Brazil	4	2	F	PT	27	1767	2093	+5	−1	30	3
2023	09	09	Rwanda	Senegal	1	1	FQ		17	1264	1750	+1	−4	150	34
2023	09	12	Senegal	Algeria	0	1	F		-14	1736	1707	−1	+4	34	39
2023	10	16	Senegal	Cameroon	1	0	F	FR	7	1743	1625	+1	−3	34	55
2023	11	18	Senegal	South Sudan	4	0	WQ		1	1744	1131	0	−1	36	170
2023	11	21	Togo	Senegal	0	0	WQ		13	1394	1731	+3	−1	105	37
2024	01	08	Senegal	Niger	1	0	F		1	1732	1237	0	0	36	156
2024	01	15	Senegal	Gambia	3	0	AR	CI	11	1743	1385	+3	−2	35	108
2024	01	19	Senegal	Cameroon	3	1	AR	CI	23	1766	1579	+6	−3	29	64
2024	01	23	Senegal	Guinea	2	0	AR	CI	12	1778	1464	0	−3	28	92
2024	01	29	Ivory Coast	Senegal	1	1	AR		9	1556	1769	+1	−1	67	28
2024	03	22	Senegal	Gabon	3	0	F	FR	5	1774	1434	+2	−1	26	99
2024	03	26	Senegal	Benin	1	0	F	FR	2	1776	1346	+2	+1	25	118
2024	06	06	Senegal	DR Congo	1	1	WQ		-15	1761	1546	−5	+2	30	72
2024	06	09	Mauritania	Senegal	0	1	WQ		-6	1345	1767	−2	0	122	30
2024	09	06	Senegal	Burkina Faso	1	1	FQ		-16	1751	1499	−3	+5	31	82
2024	09	09	Senegal	Burundi	1	0	FQ	MW	3	1754	1312	+1	+1	30	135
2024	10	11	Senegal	Malawi	4	0	FQ		2	1756	1261	+1	+1	32	146
2024	10	15	Malawi	Senegal	0	1	FQ		-4	1257	1760	−2	+1	148	31
2024	11	14	Senegal	Burkina Faso	1	0	FQ	ML	9	1769	1532	−2	−2	33	76
2024	11	19	Senegal	Burundi	2	0	FQ		2	1771	1280	+1	0	31	144
2025	03	22	Senegal	Sudan	0	0	WQ	LY	-16	1755	1410	−2	+8	32	100
2025	03	25	Senegal	Togo	2	0	WQ		4	1759	1371	+1	−4	30	118
2025	06	06	Ireland	Senegal	1	1	F		1	1635	1758	0	−1	54	32
2025	06	10	England	Senegal	1	3	F		-27	1984	1785	−1	+2	6	29
2025	09	05	Senegal	Sudan	2	0	WQ		3	1788	1393	+3	−3	26	107
2025	09	09	DR Congo	Senegal	2	3	WQ		-15	1576	1803	−5	+2	68	25
2025	10	10	South Sudan	Senegal	0	5	WQ		-3	1137	1806	−1	+1	167	24
2025	10	14	Senegal	Mauritania	4	0	WQ		3	1809	1342	−1	−3	25	124
2025	11	15	Brazil	Senegal	2	0	F	EN	8	1986	1801	0	0	6	24
2025	11	18	Senegal	Kenya	8	0	F	TR	3	1804	1344	+1	−2	24	119
2025	12	23	Senegal	Botswana	3	0	AR	MA	5	1809	1312	0	−2	24	134
2025	12	27	DR Congo	Senegal	1	1	AR	MA	12	1647	1797	+1	−2	55	26
2025	12	30	Senegal	Benin	3	0	AR	MA	10	1807	1428	+2	0	24	92
2026	01	03	Senegal	Sudan	3	1	AR	MA	5	1812	1350	0	0	24	115
2026	01	09	Senegal	Mali	1	0	AR	MA	11	1823	1589	+1	−2	23	66
2026	01	14	Senegal	Egypt	1	0	AR	MA	15	1838	1653	+3	−3	20	54
2026	01	18	Morocco	Senegal	0	1	AR		-32	1806	1870	−4	+3	24	17
2026	03	28	Senegal	Peru	2	0	F	FR	8	1878	1700	+1	−3	17	47
2026	03	31	Senegal	Gambia	3	1	F		1	1879	1423	0	−3	17	97
2026	05	31	United States	Senegal	3	2	F		12	1733	1867	+5	−1	36	18
2026	06	09	Saudi Arabia	Senegal	0	0	F	US	7	1576	1860	+1	0	69	21
