year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	25	Spain	Norway	3	0	EQ		9	2006	1745	+1	−3	5	35
2023	03	28	Scotland	Spain	2	0	EQ		42	1797	1964	+7	−3	25	8
2023	06	15	Spain	Italy	2	1	ENL	NL	24	1988	1925	+1	−2	8	12
2023	06	18	Croatia	Spain	0	0	ENL	NL	-2	2010	1990	0	+1	4	7
2023	09	08	Georgia	Spain	1	7	EQ		-17	1634	2007	−2	+1	52	6
2023	09	12	Spain	Cyprus	6	0	EQ		1	2008	1334	−1	0	7	122
2023	10	12	Spain	Scotland	2	0	EQ		10	2018	1816	+2	0	5	24
2023	10	15	Norway	Spain	0	1	EQ		-11	1745	2029	−2	+1	33	4
2023	11	16	Cyprus	Spain	1	3	EQ		-2	1314	2031	−1	+2	134	4
2023	11	19	Spain	Georgia	3	1	EQ		3	2034	1638	+1	−1	3	52
2024	03	22	Colombia	Spain	1	0	F	EN	11	1995	2023	+1	0	8	4
2024	03	26	Spain	Brazil	3	3	F		-3	2020	2027	+1	+1	4	3
2024	06	05	Spain	Andorra	5	0	F		0	2020	1113	0	0	4	171
2024	06	08	Spain	Northern Ireland	5	1	F		1	2021	1515	0	0	4	77
2024	06	15	Spain	Croatia	3	0	EC	DE	37	2058	1931	+1	−2	3	13
2024	06	20	Spain	Italy	1	0	EC	DE	18	2076	1938	0	−2	3	12
2024	06	24	Spain	Albania	1	0	EC	DE	4	2080	1630	+1	−3	2	56
2024	06	30	Spain	Georgia	4	1	EC	DE	9	2089	1705	0	−1	2	42
2024	07	05	Germany	Spain	1	2	EC		-23	1933	2112	−2	0	11	2
2024	07	09	Spain	France	2	1	EC	DE	22	2134	2046	0	0	2	3
2024	07	14	Spain	England	2	1	EC	DE	16	2150	1980	0	−1	2	7
2024	09	05	Serbia	Spain	0	0	ENA		13	1802	2137	+2	0	22	2
2024	09	08	Switzerland	Spain	1	4	ENA		-20	1854	2157	−3	0	18	2
2024	10	12	Spain	Denmark	1	0	ENA		4	2161	1859	0	0	1	15
2024	10	15	Spain	Serbia	3	0	ENA		5	2166	1806	0	0	1	22
2024	11	15	Denmark	Spain	1	2	ENA		-9	1854	2175	0	0	17	1
2024	11	18	Spain	Switzerland	3	2	ENA		3	2178	1814	0	0	1	20
2025	03	20	Netherlands	Spain	2	2	ENL		10	1948	2168	+1	0	9	1
2025	03	23	Spain	Netherlands	3	3	ENL		-18	2150	1966	0	+1	1	8
2025	06	05	Spain	France	5	4	ENL	DE	17	2167	2013	0	−1	1	4
2025	06	08	Portugal	Spain	2	2	ENL	DE	10	2030	2157	−1	0	4	1
2025	09	04	Bulgaria	Spain	0	3	WQ		-2	1450	2159	0	0	92	1
2025	09	07	Turkey	Spain	0	6	WQ		-20	1835	2179	−6	0	23	1
2025	10	11	Spain	Georgia	2	0	WQ		2	2181	1699	0	−1	1	45
2025	10	14	Spain	Bulgaria	4	0	WQ		1	2182	1428	0	−1	1	97
2025	11	15	Georgia	Spain	0	4	WQ		-7	1678	2189	−2	0	49	1
2025	11	18	Spain	Turkey	2	2	WQ		-17	2172	1881	0	+2	1	15
2026	03	27	Spain	Serbia	3	0	F		2	2174	1766	0	0	1	30
2026	03	31	Spain	Egypt	0	0	F		-9	2165	1689	0	0	1	51
2026	06	04	Spain	Iraq	1	1	F		-10	2155	1618	0	+2	1	61
