year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	25	Armenia	Turkey	1	2	EQ		-11	1440	1722	−4	−1	95	41
2023	03	28	Turkey	Croatia	0	2	EQ		-21	1701	1956	−3	+2	43	9
2023	06	16	Latvia	Turkey	2	3	EQ		-8	1340	1709	−1	+3	119	39
2023	06	19	Turkey	Wales	2	0	EQ		19	1728	1660	+4	−2	36	49
2023	09	08	Turkey	Armenia	1	1	EQ		-15	1713	1512	−2	+3	39	78
2023	09	12	Japan	Turkey	4	2	F	BE	8	1888	1705	0	−2	14	41
2023	10	12	Croatia	Turkey	0	1	EQ		-37	1978	1742	−3	+7	8	34
2023	10	15	Turkey	Latvia	4	0	EQ		4	1746	1352	+1	0	32	116
2023	11	18	Germany	Turkey	2	3	F		-17	1899	1763	−1	+5	14	29
2023	11	21	Wales	Turkey	1	1	EQ		-2	1695	1765	0	+1	45	29
2024	03	22	Hungary	Turkey	1	0	F		6	1839	1759	+1	−1	17	31
2024	03	26	Austria	Turkey	6	1	F		10	1857	1749	+1	0	16	31
2024	06	04	Italy	Turkey	0	0	F		-7	1948	1756	−1	0	12	31
2024	06	10	Poland	Turkey	2	1	F		8	1745	1748	+2	0	32	31
2024	06	18	Turkey	Georgia	3	1	EC	DE	29	1777	1637	+5	−3	26	52
2024	06	22	Portugal	Turkey	3	0	EC	DE	18	2031	1759	+2	−5	4	30
2024	06	26	Turkey	Czechia	2	1	EC	DE	25	1784	1731	+5	−5	25	37
2024	07	02	Turkey	Austria	2	1	EC	DE	34	1818	1876	+6	−2	19	15
2024	07	06	Netherlands	Turkey	2	1	EC	DE	14	1989	1804	+1	−3	7	22
2024	09	06	Wales	Turkey	0	0	ENB		1	1684	1803	−1	0	47	21
2024	09	09	Turkey	Iceland	3	1	ENB		8	1811	1574	+1	−2	19	66
2024	10	11	Turkey	Montenegro	1	0	ENB		4	1815	1512	+1	−4	20	82
2024	10	14	Iceland	Turkey	2	4	ENB		-19	1557	1834	−4	+3	71	18
2024	11	16	Turkey	Wales	0	0	ENB		-12	1822	1717	0	+3	19	42
2024	11	19	Montenegro	Turkey	3	1	ENB		48	1520	1774	+7	−9	78	28
2025	03	20	Turkey	Hungary	3	1	EAB		22	1796	1756	+4	−5	25	32
2025	03	23	Hungary	Turkey	0	3	EAB		-41	1715	1837	−13	+6	44	19
2025	06	07	United States	Turkey	1	2	F		-10	1712	1847	−3	+1	43	17
2025	06	10	Mexico	Turkey	1	0	F	US	11	1813	1836	+1	−5	24	22
2025	09	04	Georgia	Turkey	2	3	WQ		-19	1692	1855	−6	+5	47	18
2025	09	07	Turkey	Spain	0	6	WQ		-20	1835	2179	−6	0	23	1
2025	10	11	Bulgaria	Turkey	1	6	WQ		-12	1429	1847	−3	+2	97	19
2025	10	14	Turkey	Georgia	4	1	WQ		14	1861	1685	0	−5	19	48
2025	11	15	Turkey	Bulgaria	2	0	WQ		3	1864	1425	+1	−1	18	98
2025	11	18	Spain	Turkey	2	2	WQ		-17	2172	1881	0	+2	1	15
2026	03	26	Turkey	Romania	1	0	WQ		5	1886	1637	0	−1	15	57
2026	03	31	Kosovo	Turkey	0	1	WQ		-17	1721	1903	−4	+1	41	14
2026	06	01	Turkey	North Macedonia	4	0	F		3	1906	1589	+1	−1	13	67
2026	06	06	Turkey	Venezuela	2	1	F	US	5	1911	1722	+1	0	12	39
