year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2023	03	24	Uzbekistan	Bolivia	1	0	F	SA	11	1586	1606	+1	−2	65	60
2023	03	28	Uzbekistan	Venezuela	1	1	F	SA	3	1589	1691	0	0	66	44
2023	06	11	Uzbekistan	Oman	3	0	CNU		26	1615	1576	+9	−7	57	66
2023	06	14	Uzbekistan	Turkmenistan	2	0	CNU		4	1619	1246	+1	−2	56	150
2023	06	17	Uzbekistan	Tajikistan	5	1	CNU		7	1626	1327	+1	0	54	124
2023	06	20	Uzbekistan	Iran	0	1	CNU		-17	1609	1802	−5	+3	60	25
2023	09	09	United States	Uzbekistan	3	0	F		5	1810	1604	+1	−1	25	60
2023	09	12	Mexico	Uzbekistan	3	3	F	US	-6	1832	1610	+1	0	20	60
2023	10	13	Uzbekistan	Vietnam	2	0	F	CN	7	1617	1398	+4	+1	56	106
2023	10	16	China	Uzbekistan	1	2	F		-9	1459	1626	−1	+2	89	54
2023	11	16	Turkmenistan	Uzbekistan	1	3	WQS		-9	1226	1635	0	+4	155	51
2023	11	21	Uzbekistan	Iran	2	2	WQS		5	1640	1827	+1	−1	52	20
2023	12	25	Uzbekistan	Kyrgyzstan	4	1	F	AE	3	1643	1254	+2	−1	50	153
2024	01	07	Uzbekistan	Palestine	1	0	F	QA	4	1647	1405	+1	−2	50	103
2024	01	13	Syria	Uzbekistan	0	0	AC	QA	14	1432	1633	+4	−3	96	53
2024	01	18	Uzbekistan	India	3	0	AC	QA	9	1642	1250	+3	−3	51	153
2024	01	23	Australia	Uzbekistan	1	1	AC	QA	-10	1786	1652	−3	+2	27	50
2024	01	30	Uzbekistan	Thailand	2	1	AC	QA	11	1663	1420	+2	−1	47	101
2024	02	03	Qatar	Uzbekistan	1	1	AC		0	1564	1663	−1	0	68	47
2024	03	21	Hong Kong	Uzbekistan	0	2	WQS		-3	1060	1666	−1	0	180	47
2024	03	26	Uzbekistan	Hong Kong	3	0	WQS		1	1667	1059	+2	0	46	180
2024	06	06	Uzbekistan	Turkmenistan	3	1	WQS		2	1669	1218	0	−1	46	159
2024	06	11	Iran	Uzbekistan	0	0	WQS		-12	1808	1681	0	+3	20	44
2024	09	05	Uzbekistan	North Korea	1	0	WQ		4	1685	1397	+1	−2	45	106
2024	09	10	Kyrgyzstan	Uzbekistan	2	3	WQ		-6	1275	1691	−1	0	145	47
2024	10	10	Uzbekistan	Iran	0	0	WQ		2	1693	1818	0	0	47	19
2024	10	15	Uzbekistan	United Arab Emirates	1	0	WQ		7	1700	1519	0	−2	47	79
2024	11	14	Qatar	Uzbekistan	3	2	WQ		22	1587	1678	+4	−2	64	49
2024	11	19	Uzbekistan	North Korea	1	0	WQ	LA	6	1684	1387	0	−8	49	114
2025	01	27	Jordan	Uzbekistan	0	0	F	QA	2	1619	1682	0	0	54	49
2025	03	20	Uzbekistan	Kyrgyzstan	1	0	WQ		2	1684	1279	0	−2	49	144
2025	03	25	Iran	Uzbekistan	2	2	WQ		-13	1830	1697	−3	+1	20	47
2025	06	05	United Arab Emirates	Uzbekistan	0	0	WQ		3	1544	1694	+1	0	72	47
2025	06	10	Uzbekistan	Qatar	3	0	WQ		13	1707	1517	+5	−2	42	78
2025	08	30	Uzbekistan	Oman	1	1	CNU		-14	1693	1516	−3	+1	45	79
2025	09	02	Uzbekistan	Turkmenistan	2	1	CNU		2	1695	1254	0	−1	45	152
2025	09	05	Uzbekistan	Kyrgyzstan	4	0	CNU		4	1699	1313	+2	+1	44	133
2025	09	08	Uzbekistan	Iran	1	0	CNU		19	1718	1768	+5	−3	41	32
2025	10	09	Uzbekistan	Kuwait	2	0	F		1	1719	1293	0	−3	39	142
2025	10	13	Uruguay	Uzbekistan	2	1	F	MY	5	1913	1714	0	0	12	39
2025	11	14	Uzbekistan	Egypt	2	0	FT	AE	20	1734	1648	+4	−2	36	54
2025	11	18	Iran	Uzbekistan	0	0	FT	AE	-1	1755	1735	−1	0	33	36
2026	01	26	China	Uzbekistan	2	2	F	AE	7	1410	1728	+4	−4	97	40
2026	03	27	Uzbekistan	Gabon	3	1	FFS		4	1732	1401	0	−1	40	102
2026	03	30	Uzbekistan	Venezuela	0	0	FFS		-5	1727	1727	−1	+3	40	40
2026	06	01	Canada	Uzbekistan	2	0	F		9	1793	1718	+1	−1	25	40
2026	06	08	Netherlands	Uzbekistan	2	1	F	US	4	1948	1714	0	−1	8	41
