team,reach_last_16,reach_last_8,reach_last_4,reach_final,champion,predicted_finish,predicted_finish_pct,best_realistic_finish,best_realistic_pct,simulation_runs,simulation_seed
Brazil,100.0,85.5,69.1,44.9,31.9,Champion,31.9,Champion,31.9,25000,20260605
Argentina,100.0,84.2,57.7,30.5,20.0,Exit SF,27.2,Champion,20.0,25000,20260605
Spain,100.0,76.1,45.1,29.1,13.0,Exit QF,31.0,Champion,13.0,25000,20260605
Portugal,100.0,68.6,36.8,22.6,9.5,Exit QF,31.7,Champion,9.5,25000,20260605
Netherlands,100.0,76.3,33.4,13.6,7.1,Exit QF,42.9,Champion,7.1,25000,20260605
France,100.0,66.2,38.3,17.7,6.2,Exit Last 16,33.8,Champion,6.2,25000,20260605
England,100.0,75.4,40.9,17.9,5.7,Exit QF,34.5,Champion,5.7,25000,20260605
Croatia,100.0,64.1,18.9,6.6,2.7,Exit QF,45.2,Champion,2.7,25000,20260605
Switzerland,100.0,31.4,10.8,4.3,1.0,Exit Last 16,68.6,Champion,1.0,25000,20260605
Poland,100.0,33.8,13.8,4.3,0.9,Exit Last 16,66.2,Runner-up,3.3,25000,20260605
Morocco,100.0,23.9,7.3,2.7,0.5,Exit Last 16,76.1,Runner-up,2.2,25000,20260605
Japan,100.0,35.9,6.5,1.5,0.4,Exit Last 16,64.1,Runner-up,1.1,25000,20260605
South Korea,100.0,14.5,5.5,1.3,0.4,Exit Last 16,85.5,Exit SF,4.2,25000,20260605
United States,100.0,23.7,4.8,0.9,0.2,Exit Last 16,76.3,Exit SF,3.9,25000,20260605
Australia,100.0,15.8,4.1,0.8,0.2,Exit Last 16,84.2,Exit SF,3.3,25000,20260605
Senegal,100.0,24.6,7.0,1.5,0.2,Exit Last 16,75.4,Runner-up,1.3,25000,20260605
