team,finish,path,count,percentage,simulation_runs,simulation_seed
Argentina,Champion,Croatia > France,36295,36.3,100000,20260605
Argentina,Exit SF,None,24665,24.7,100000,20260605
Argentina,Runner-up,Croatia,20919,20.9,100000,20260605
Argentina,Champion,Croatia > Morocco,18121,18.1,100000,20260605
Croatia,Exit SF,None,75335,75.3,100000,20260605
Croatia,Runner-up,Argentina,14043,14.0,100000,20260605
Croatia,Champion,Argentina > France,6376,6.4,100000,20260605
Croatia,Champion,Argentina > Morocco,4246,4.2,100000,20260605
France,Runner-up,Morocco,42671,42.7,100000,20260605
France,Exit SF,None,28377,28.4,100000,20260605
France,Champion,Morocco > Argentina,17619,17.6,100000,20260605
France,Champion,Morocco > Croatia,11333,11.3,100000,20260605
Morocco,Exit SF,None,71623,71.6,100000,20260605
Morocco,Runner-up,France,22367,22.4,100000,20260605
Morocco,Champion,France > Argentina,3300,3.3,100000,20260605
Morocco,Champion,France > Croatia,2710,2.7,100000,20260605
