stage,match_id,team1,team2,scoreline,winner,count,scoreline_pct,matchup_runs,matchup_pct,simulation_runs,simulation_seed
final,M63,Argentina,France,1-0,Argentina,3340,13.4,25000,100.0,25000,20260605
final,M63,Argentina,France,2-0,Argentina,2318,9.3,25000,100.0,25000,20260605
final,M63,Argentina,France,1-1,Argentina,2231,8.9,25000,100.0,25000,20260605
final,M63,Argentina,France,2-1,Argentina,2195,8.8,25000,100.0,25000,20260605
final,M63,Argentina,France,0-1,France,2193,8.8,25000,100.0,25000,20260605
final,M63,Argentina,France,0-0,Argentina,1674,6.7,25000,100.0,25000,20260605
final,M63,Argentina,France,1-2,France,1553,6.2,25000,100.0,25000,20260605
final,M63,Argentina,France,3-0,Argentina,1111,4.4,25000,100.0,25000,20260605
final,M63,Argentina,France,3-1,Argentina,1055,4.2,25000,100.0,25000,20260605
final,M63,Argentina,France,0-2,France,1041,4.2,25000,100.0,25000,20260605
final,M63,Argentina,France,1-1,France,837,3.3,25000,100.0,25000,20260605
final,M63,Argentina,France,2-2,Argentina,826,3.3,25000,100.0,25000,20260605
final,M63,Argentina,France,0-0,France,581,2.3,25000,100.0,25000,20260605
final,M63,Argentina,France,3-2,Argentina,518,2.1,25000,100.0,25000,20260605
final,M63,Argentina,France,1-3,France,464,1.9,25000,100.0,25000,20260605
final,M63,Argentina,France,4-1,Argentina,411,1.6,25000,100.0,25000,20260605
final,M63,Argentina,France,4-0,Argentina,387,1.5,25000,100.0,25000,20260605
final,M63,Argentina,France,2-3,France,367,1.5,25000,100.0,25000,20260605
final,M63,Argentina,France,0-3,France,353,1.4,25000,100.0,25000,20260605
final,M63,Argentina,France,2-2,France,283,1.1,25000,100.0,25000,20260605
final,M63,Argentina,France,4-2,Argentina,167,0.7,25000,100.0,25000,20260605
final,M63,Argentina,France,3-3,Argentina,128,0.5,25000,100.0,25000,20260605
final,M63,Argentina,France,1-4,France,119,0.5,25000,100.0,25000,20260605
final,M63,Argentina,France,5-1,Argentina,118,0.5,25000,100.0,25000,20260605
final,M63,Argentina,France,5-0,Argentina,117,0.5,25000,100.0,25000,20260605
final,M63,Argentina,France,2-4,France,98,0.4,25000,100.0,25000,20260605
final,M63,Argentina,France,0-4,France,74,0.3,25000,100.0,25000,20260605
final,M63,Argentina,France,3-3,France,70,0.3,25000,100.0,25000,20260605
final,M63,Argentina,France,4-3,Argentina,59,0.2,25000,100.0,25000,20260605
final,M63,Argentina,France,5-2,Argentina,55,0.2,25000,100.0,25000,20260605
final,M63,Argentina,France,3-4,France,51,0.2,25000,100.0,25000,20260605
final,M63,Argentina,France,6-0,Argentina,35,0.1,25000,100.0,25000,20260605
final,M63,Argentina,France,6-1,Argentina,29,0.1,25000,100.0,25000,20260605
final,M63,Argentina,France,5-3,Argentina,25,0.1,25000,100.0,25000,20260605
final,M63,Argentina,France,1-5,France,19,0.1,25000,100.0,25000,20260605
final,M63,Argentina,France,2-5,France,17,0.1,25000,100.0,25000,20260605
final,M63,Argentina,France,6-2,Argentina,14,0.1,25000,100.0,25000,20260605
final,M63,Argentina,France,0-5,France,13,0.1,25000,100.0,25000,20260605
final,M63,Argentina,France,4-4,Argentina,9,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,3-5,France,6,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,7-0,Argentina,6,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,2-6,France,5,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,5-4,Argentina,4,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,1-6,France,3,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,6-3,Argentina,3,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,7-1,Argentina,3,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,8-1,Argentina,3,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,4-4,France,2,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,4-5,France,2,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,7-3,Argentina,2,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,0-6,France,1,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,2-7,France,1,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,3-6,France,1,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,4-6,France,1,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,6-5,Argentina,1,0.0,25000,100.0,25000,20260605
final,M63,Argentina,France,8-0,Argentina,1,0.0,25000,100.0,25000,20260605
