match_id,team1,team2,path,prediction,team1_base_elo,team1_qual_bonus,team2_base_elo,team2_qual_bonus,team1_path_fatigue,team2_path_fatigue,team1_path_opponent,team2_path_opponent,model_prediction,selection_source
M103,W101(W98(W93(W84(H1(Spain))))),W102(W100(W95(W86(J1(Argentina))))),predicted,Spain (54%),2165,82,2113,40,806,571,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|Austria:-3 > Uruguay:0 > Paraguay:0 > Portugal:-29 > England:-37,Spain (54%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W100(W96(W87(K1(Portugal))))),alt,Spain (73%),2165,82,1984,51,806,753,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,Spain (73%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W99(W92(W80(L1(England))))),alt,Spain (73%),2165,82,2020,97,806,787,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,Spain (73%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W99(W91(W78(I2(Norway))))),alt,Spain (81%),2165,82,1917,92,806,1014,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19 > Spain:-68,Spain (81%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W99(W92(W79(A1(Mexico))))),alt,Spain (86%),2165,82,1867,0,806,1075,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,Ivory Coast:0 > Netherlands:-15 > France:-45 > Spain:-68,Spain (86%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W100(W96(W87(K1(Colombia))))),alt,Spain (84%),2165,82,1977,10,806,941,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|Portugal:-6 > Croatia:-5 > Spain:-45 > Turkey:-20 > England:-37,Spain (84%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W99(W91(W78(E2(Ecuador))))),alt,Spain (86%),2165,82,1935,18,806,1080,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19 > Spain:-68,Spain (86%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W99(W91(W78(E2(Germany))))),alt,Spain (81%),2165,82,1925,69,806,1065,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,Spain (81%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W99(W91(W78(I2(France))))),alt,Spain (61%),2165,82,2081,73,806,963,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,Spain (61%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W99(W91(W78(I2(Senegal))))),alt,Spain (86%),2165,82,1867,58,806,1225,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55 > France:-57,Spain (86%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W99(W91(W76(F2(Japan))))),alt,Spain (84%),2165,82,1906,79,806,1026,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45 > Spain:-68,Spain (84%),model
M103,W101(W98(W93(W84(H1(Spain))))),W102(W99(W91(W76(F2(Netherlands))))),alt,Spain (84%),2165,82,1961,73,806,1041,Austria:-5 > Colombia:-15 > Turkey:-20 > France:-57,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,Spain (84%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W100(W95(W86(J1(Argentina))))),alt,Argentina (57%),2081,73,2113,40,963,571,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,G|Austria:-3 > Uruguay:0 > Paraguay:0 > Portugal:-29 > England:-37,Argentina (57%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W100(W96(W87(K1(Portugal))))),alt,France (63%),2081,73,1984,51,963,753,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,France (63%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W99(W92(W80(L1(England))))),alt,France (63%),2081,73,2020,97,963,787,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,France (63%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W99(W91(W78(I2(Norway))))),alt,France (74%),2081,73,1917,92,963,1014,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19 > Spain:-68,France (74%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W99(W92(W79(A1(Mexico))))),alt,France (80%),2081,73,1867,0,963,1075,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,Ivory Coast:0 > Netherlands:-15 > France:-45 > Spain:-68,France (80%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W100(W96(W87(K1(Colombia))))),alt,France (77%),2081,73,1977,10,963,941,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,G|Portugal:-6 > Croatia:-5 > Spain:-45 > Turkey:-20 > England:-37,France (77%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W99(W91(W78(E2(Ecuador))))),alt,France (79%),2081,73,1935,18,963,1080,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19 > Spain:-68,France (79%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W99(W91(W78(E2(Germany))))),alt,France (73%),2081,73,1925,69,963,1065,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,France (73%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W99(W91(W78(I2(Senegal))))),alt,France (79%),2081,73,1867,58,963,1225,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55 > France:-57,France (79%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W99(W91(W76(F2(Japan))))),alt,France (77%),2081,73,1906,79,963,1026,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45 > Spain:-68,France (77%),model
M103,W101(W97(W89(W77(I1(France))))),W102(W99(W91(W76(F2(Netherlands))))),alt,France (77%),2081,73,1961,73,963,1041,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,France (77%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W100(W95(W86(J1(Argentina))))),alt,Argentina (78%),1925,69,2113,40,1065,571,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,G|Austria:-3 > Uruguay:0 > Paraguay:0 > Portugal:-29 > England:-37,Argentina (78%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W100(W96(W87(K1(Portugal))))),alt,Portugal (62%),1925,69,1984,51,1065,753,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,Portugal (62%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W99(W92(W80(L1(England))))),alt,England (61%),1925,69,2020,97,1065,787,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,England (61%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W99(W91(W78(I2(Norway))))),alt,Germany (51%),1925,69,1917,92,1065,1014,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19 > Spain:-68,Germany (51%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W99(W92(W79(A1(Mexico))))),alt,Germany (59%),1925,69,1867,0,1065,1075,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,Ivory Coast:0 > Netherlands:-15 > France:-45 > Spain:-68,Germany (59%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W100(W96(W87(K1(Colombia))))),alt,Germany (54%),1925,69,1977,10,1065,941,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,G|Portugal:-6 > Croatia:-5 > Spain:-45 > Turkey:-20 > England:-37,Germany (54%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W99(W91(W78(E2(Ecuador))))),alt,Germany (58%),1925,69,1935,18,1065,1080,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19 > Spain:-68,Germany (58%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W99(W91(W78(I2(France))))),alt,France (73%),1925,69,2081,73,1065,963,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,France (73%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W99(W91(W78(I2(Senegal))))),alt,Germany (58%),1925,69,1867,58,1065,1225,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55 > France:-57,Germany (58%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W99(W91(W76(F2(Japan))))),alt,Germany (56%),1925,69,1906,79,1065,1026,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45 > Spain:-68,Germany (56%),model
M103,W101(W97(W89(W74(E1(Germany))))),W102(W99(W91(W76(F2(Netherlands))))),alt,Germany (55%),1925,69,1961,73,1065,1041,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,Germany (55%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W100(W95(W86(J1(Argentina))))),alt,Argentina (69%),1984,51,2113,40,753,571,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Austria:-3 > Uruguay:0 > Paraguay:0 > Portugal:-29 > England:-37,Argentina (69%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W92(W80(L1(England))))),alt,Portugal (50%),1984,51,2020,97,753,787,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,Portugal (50%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W78(I2(Norway))))),alt,Portugal (62%),1984,51,1917,92,753,1014,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19 > Spain:-68,Portugal (62%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W92(W79(A1(Mexico))))),alt,Portugal (69%),1984,51,1867,0,753,1075,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,Ivory Coast:0 > Netherlands:-15 > France:-45 > Spain:-68,Portugal (69%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W100(W96(W87(K1(Colombia))))),alt,Portugal (66%),1984,51,1977,10,753,941,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Portugal:-6 > Croatia:-5 > Spain:-45 > Turkey:-20 > England:-37,Portugal (66%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W78(E2(Ecuador))))),alt,Portugal (69%),1984,51,1935,18,753,1080,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19 > Spain:-68,Portugal (69%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W78(E2(Germany))))),alt,Portugal (62%),1984,51,1925,69,753,1065,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,Portugal (62%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W78(I2(France))))),alt,France (63%),1984,51,2081,73,753,963,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,France (63%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W78(I2(Senegal))))),alt,Portugal (69%),1984,51,1867,58,753,1225,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55 > France:-57,Portugal (69%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W76(F2(Japan))))),alt,Portugal (67%),1984,51,1906,79,753,1026,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45 > Spain:-68,Portugal (67%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W76(F2(Netherlands))))),alt,Portugal (66%),1984,51,1961,73,753,1041,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,Portugal (66%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W100(W95(W86(J1(Argentina))))),alt,Argentina (70%),2020,97,2113,40,787,571,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|Austria:-3 > Uruguay:0 > Paraguay:0 > Portugal:-29 > England:-37,Argentina (70%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W100(W96(W87(K1(Portugal))))),alt,Portugal (50%),2020,97,1984,51,787,753,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,Portugal (50%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W99(W91(W78(I2(Norway))))),alt,England (62%),2020,97,1917,92,787,1014,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19 > Spain:-68,England (62%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W99(W92(W79(A1(Mexico))))),alt,England (69%),2020,97,1867,0,787,1075,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,Ivory Coast:0 > Netherlands:-15 > France:-45 > Spain:-68,England (69%),model
