match_id,team1,team2,path,predicted_winner,elo,qualification_form,h2h,prediction
M73,A2(South Korea),B2(Canada),primary,Canada (58%),Canada (62%),South Korea (62%),South Korea (82%),Canada (58%)
M73,A2(South Korea),B2(Switzerland),alt,Switzerland (66%),Switzerland (69%),Switzerland (50%),South Korea (73%),Switzerland (66%)
M73,A2(Czechia),B2(Switzerland),alt,Switzerland (70%),Switzerland (72%),Switzerland (56%),Czechia (54%),Switzerland (70%)
M73,A2(Czechia),B2(Canada),alt,Canada (62%),Canada (65%),Czechia (55%),Czechia (100%),Canada (62%)

M74,E1(Germany),ABCDF3(Scotland),primary,Germany (69%),Germany (71%),Germany (54%),Germany (97%),Germany (69%)
M74,E1(Germany),ABCDF3(Morocco),alt,Germany (61%),Germany (64%),Morocco (53%),Germany (50%),Germany (61%)
M74,E1(Ecuador),ABCDF3(Morocco),alt,Ecuador (62%),Ecuador (66%),Morocco (62%),Ecuador (50%),Ecuador (62%)
M74,E1(Ecuador),ABCDF3(Scotland),alt,Ecuador (68%),Ecuador (72%),Scotland (54%),Scotland (100%),Ecuador (68%)

M75,F1(Netherlands),C2(Morocco),primary,Netherlands (63%),Netherlands (66%),Morocco (52%),Netherlands (93%),Netherlands (63%)
M75,F1(Netherlands),C2(Brazil),alt,Netherlands (52%),Brazil (50%),Netherlands (62%),Netherlands (73%),Netherlands (52%)
M75,F1(Netherlands),C2(Scotland),alt,Netherlands (70%),Netherlands (72%),Netherlands (55%),Netherlands (83%),Netherlands (70%)
M75,F1(Japan),C2(Brazil),alt,Brazil (52%),Brazil (55%),Japan (63%),Brazil (63%),Brazil (52%)
M75,F1(Japan),C2(Morocco),alt,Japan (60%),Japan (62%),Morocco (52%),Japan (50%),Japan (60%)
M75,F1(Japan),C2(Scotland),alt,Japan (67%),Japan (69%),Japan (56%),Japan (97%),Japan (67%)

M76,C1(Brazil),F2(Japan),primary,Japan (48%),Brazil (55%),Japan (63%),Brazil (63%),Brazil (52%)
M76,C1(Brazil),F2(Netherlands),alt,Netherlands (52%),Brazil (50%),Netherlands (62%),Netherlands (73%),Netherlands (52%)
M76,C1(Morocco),F2(Netherlands),alt,Netherlands (63%),Netherlands (66%),Morocco (52%),Netherlands (93%),Netherlands (63%)
M76,C1(Morocco),F2(Japan),alt,Japan (60%),Japan (62%),Morocco (52%),Morocco (50%),Japan (60%)

M77,I1(France),CDFGH3(Paraguay),primary,France (76%),France (78%),France (62%),France (77%),France (76%)
M77,I1(France),CDFGH3(United States),alt,France (76%),France (78%),France (64%),France (64%),France (76%)
M77,I1(France),CDFGH3(Australia),alt,France (79%),France (84%),France (53%),France (96%),France (79%)
M77,I1(Norway),CDFGH3(United States),alt,Norway (63%),Norway (62%),Norway (67%),United States (88%),Norway (63%)
M77,I1(Norway),CDFGH3(Paraguay),alt,Norway (63%),Norway (62%),Norway (66%),Norway (50%),Norway (63%)
