match_id,team1,team2,path,prediction,team1_base_elo,team1_qual_bonus,team2_base_elo,team2_qual_bonus,team1_path_fatigue,team2_path_fatigue,team1_path_opponent,team2_path_opponent,model_prediction,selection_source
M101,W97(W89(W77(I1(France)))),W98(W93(W84(H1(Spain)))),predicted,Spain (60%),2081,73,2165,82,394,335,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19,Austria:-5 > Colombia:-15 > Turkey:-20,Spain (60%),model
M101,W97(W89(W77(I1(France)))),W98(W94(W81(D1(Turkey)))),alt,France (76%),2081,73,1906,47,394,602,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19,Senegal:-8 > Belgium:-10 > Spain:-55,France (76%),model
M101,W97(W89(W77(I1(France)))),W98(W94(W81(BEFIJ3(Senegal)))),alt,France (79%),2081,73,1867,58,394,754,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55,France (79%),model
M101,W97(W89(W77(I1(France)))),W98(W93(W83(K2(Portugal)))),alt,France (64%),2081,73,1984,51,394,282,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,France (64%),model
M101,W97(W89(W77(I1(France)))),W98(W93(W83(L2(England)))),alt,France (65%),2081,73,2020,97,394,316,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,France (65%),model
M101,W97(W89(W74(E1(Germany)))),W98(W93(W84(H1(Spain)))),alt,Spain (79%),1925,69,2165,82,496,335,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19,Austria:-5 > Colombia:-15 > Turkey:-20,Spain (79%),model
M101,W97(W89(W74(E1(Germany)))),W98(W94(W81(D1(Turkey)))),alt,Germany (55%),1925,69,1906,47,496,602,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19,Senegal:-8 > Belgium:-10 > Spain:-55,Germany (55%),model
M101,W97(W89(W74(E1(Germany)))),W98(W94(W81(BEFIJ3(Senegal)))),alt,Germany (59%),1925,69,1867,58,496,754,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55,Germany (59%),model
M101,W97(W89(W74(E1(Germany)))),W98(W93(W83(K2(Portugal)))),alt,Portugal (59%),1925,69,1984,51,496,282,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (59%),model
M101,W97(W89(W74(E1(Germany)))),W98(W93(W83(L2(England)))),alt,England (59%),1925,69,2020,97,496,316,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,England (59%),model
M101,W97(W90(W75(F1(Netherlands)))),W98(W93(W84(H1(Spain)))),alt,Spain (83%),1961,73,2165,82,472,335,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45,Austria:-5 > Colombia:-15 > Turkey:-20,Spain (83%),model
M101,W97(W90(W75(F1(Netherlands)))),W98(W94(W81(D1(Turkey)))),alt,Netherlands (50%),1961,73,1906,47,472,602,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45,Senegal:-8 > Belgium:-10 > Spain:-55,Netherlands (50%),model
M101,W97(W90(W75(F1(Netherlands)))),W98(W94(W81(BEFIJ3(Senegal)))),alt,Netherlands (54%),1961,73,1867,58,472,754,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55,Netherlands (54%),model
M101,W97(W90(W75(F1(Netherlands)))),W98(W93(W83(K2(Portugal)))),alt,Portugal (64%),1961,73,1984,51,472,282,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (64%),model
M101,W97(W90(W75(F1(Netherlands)))),W98(W93(W83(L2(England)))),alt,England (63%),1961,73,2020,97,472,316,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,England (63%),model
M101,W97(W90(W75(C2(Morocco)))),W98(W93(W84(H1(Spain)))),alt,Spain (87%),1822,88,2165,82,466,335,G|Brazil:-3 > Netherlands:-8 > South Korea:0 > France:-45,Austria:-5 > Colombia:-15 > Turkey:-20,Spain (87%),model
M101,W97(W90(W75(C2(Morocco)))),W98(W94(W81(D1(Turkey)))),alt,Turkey (59%),1822,88,1906,47,466,602,G|Brazil:-3 > Netherlands:-8 > South Korea:0 > France:-45,Senegal:-8 > Belgium:-10 > Spain:-55,Turkey (59%),model
M101,W97(W90(W75(C2(Morocco)))),W98(W94(W81(BEFIJ3(Senegal)))),alt,Senegal (55%),1822,88,1867,58,466,754,G|Brazil:-3 > Netherlands:-8 > South Korea:0 > France:-45,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55,Senegal (55%),model
M101,W97(W90(W75(C2(Morocco)))),W98(W93(W83(K2(Portugal)))),alt,Portugal (72%),1822,88,1984,51,466,282,G|Brazil:-3 > Netherlands:-8 > South Korea:0 > France:-45,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (72%),model
M101,W97(W90(W75(C2(Morocco)))),W98(W93(W83(L2(England)))),alt,England (72%),1822,88,2020,97,466,316,G|Brazil:-3 > Netherlands:-8 > South Korea:0 > France:-45,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,England (72%),model
M101,W97(W90(W73(A2(Mexico)))),W98(W93(W84(H1(Spain)))),alt,Spain (85%),1867,0,2165,82,506,335,Ivory Coast:0 > Netherlands:-15 > France:-45,Austria:-5 > Colombia:-15 > Turkey:-20,Spain (85%),model
M101,W97(W90(W73(A2(Mexico)))),W98(W94(W81(D1(Turkey)))),alt,Turkey (53%),1867,0,1906,47,506,602,Ivory Coast:0 > Netherlands:-15 > France:-45,Senegal:-8 > Belgium:-10 > Spain:-55,Turkey (53%),model
M101,W97(W90(W73(A2(Mexico)))),W98(W94(W81(BEFIJ3(Senegal)))),alt,Mexico (51%),1867,0,1867,58,506,754,Ivory Coast:0 > Netherlands:-15 > France:-45,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55,Mexico (51%),model
M101,W97(W90(W73(A2(Mexico)))),W98(W93(W83(K2(Portugal)))),alt,Portugal (67%),1867,0,1984,51,506,282,Ivory Coast:0 > Netherlands:-15 > France:-45,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (67%),model
M101,W97(W90(W73(A2(Mexico)))),W98(W93(W83(L2(England)))),alt,England (67%),1867,0,2020,97,506,316,Ivory Coast:0 > Netherlands:-15 > France:-45,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,England (67%),model
M101,W97(W90(W73(B2(Switzerland)))),W98(W93(W84(H1(Spain)))),alt,Spain (86%),1894,60,2165,82,514,335,G|Canada:-1 > Algeria:0 > Netherlands:-15 > France:-45,Austria:-5 > Colombia:-15 > Turkey:-20,Spain (86%),model
M101,W97(W90(W73(B2(Switzerland)))),W98(W94(W81(D1(Turkey)))),alt,Turkey (57%),1894,60,1906,47,514,602,G|Canada:-1 > Algeria:0 > Netherlands:-15 > France:-45,Senegal:-8 > Belgium:-10 > Spain:-55,Turkey (57%),model
M101,W97(W90(W73(B2(Switzerland)))),W98(W94(W81(BEFIJ3(Senegal)))),alt,Senegal (53%),1894,60,1867,58,514,754,G|Canada:-1 > Algeria:0 > Netherlands:-15 > France:-45,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55,Senegal (53%),model
M101,W97(W90(W73(B2(Switzerland)))),W98(W93(W83(K2(Portugal)))),alt,Portugal (70%),1894,60,1984,51,514,282,G|Canada:-1 > Algeria:0 > Netherlands:-15 > France:-45,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (70%),model
M101,W97(W90(W73(B2(Switzerland)))),W98(W93(W83(L2(England)))),alt,England (70%),1894,60,2020,97,514,316,G|Canada:-1 > Algeria:0 > Netherlands:-15 > France:-45,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,England (70%),model
M101,W97(W90(W75(C2(Brazil)))),W98(W93(W84(H1(Spain)))),alt,Spain (85%),1988,7,2165,82,458,335,G|Morocco:-2 > Netherlands:-8 > South Korea:0 > France:-45,Austria:-5 > Colombia:-15 > Turkey:-20,Spain (85%),model
M101,W97(W90(W75(C2(Brazil)))),W98(W94(W81(D1(Turkey)))),alt,Turkey (54%),1988,7,1906,47,458,602,G|Morocco:-2 > Netherlands:-8 > South Korea:0 > France:-45,Senegal:-8 > Belgium:-10 > Spain:-55,Turkey (54%),model
M101,W97(W90(W75(C2(Brazil)))),W98(W94(W81(BEFIJ3(Senegal)))),alt,Senegal (50%),1988,7,1867,58,458,754,G|Morocco:-2 > Netherlands:-8 > South Korea:0 > France:-45,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55,Senegal (50%),model
M101,W97(W90(W75(C2(Brazil)))),W98(W93(W83(K2(Portugal)))),alt,Portugal (68%),1988,7,1984,51,458,282,G|Morocco:-2 > Netherlands:-8 > South Korea:0 > France:-45,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (68%),model
M101,W97(W90(W75(C2(Brazil)))),W98(W93(W83(L2(England)))),alt,England (68%),1988,7,2020,97,458,316,G|Morocco:-2 > Netherlands:-8 > South Korea:0 > France:-45,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,England (68%),model
M101,W97(W90(W75(F1(Japan)))),W98(W93(W84(H1(Spain)))),alt,Spain (83%),1906,79,2165,82,457,335,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45,Austria:-5 > Colombia:-15 > Turkey:-20,Spain (83%),model
M101,W97(W90(W75(F1(Japan)))),W98(W94(W81(D1(Turkey)))),alt,Turkey (50%),1906,79,1906,47,457,602,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45,Senegal:-8 > Belgium:-10 > Spain:-55,Turkey (50%),model
M101,W97(W90(W75(F1(Japan)))),W98(W94(W81(BEFIJ3(Senegal)))),alt,Japan (54%),1906,79,1867,58,457,754,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55,Japan (54%),model
M101,W97(W90(W75(F1(Japan)))),W98(W93(W83(K2(Portugal)))),alt,Portugal (64%),1906,79,1984,51,457,282,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (64%),model
M101,W97(W90(W75(F1(Japan)))),W98(W93(W83(L2(England)))),alt,England (64%),1906,79,2020,97,457,316,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,England (64%),model
M101,W97(W89(W74(E1(Ecuador)))),W98(W93(W84(H1(Spain)))),alt,Spain (84%),1935,18,2165,82,511,335,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19,Austria:-5 > Colombia:-15 > Turkey:-20,Spain (84%),model
M101,W97(W89(W74(E1(Ecuador)))),W98(W94(W81(D1(Turkey)))),alt,Turkey (53%),1935,18,1906,47,511,602,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19,Senegal:-8 > Belgium:-10 > Spain:-55,Turkey (53%),model
M101,W97(W89(W74(E1(Ecuador)))),W98(W94(W81(BEFIJ3(Senegal)))),alt,Ecuador (51%),1935,18,1867,58,511,754,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55,Ecuador (51%),model
M101,W97(W89(W74(E1(Ecuador)))),W98(W93(W83(K2(Portugal)))),alt,Portugal (67%),1935,18,1984,51,511,282,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (67%),model
M101,W97(W89(W74(E1(Ecuador)))),W98(W93(W83(L2(England)))),alt,England (66%),1935,18,2020,97,511,316,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,England (66%),model
M101,W97(W89(W77(I1(Norway)))),W98(W93(W84(H1(Spain)))),alt,Spain (80%),1917,92,2165,82,445,335,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,Austria:-5 > Colombia:-15 > Turkey:-20,Spain (80%),model
M101,W97(W89(W77(I1(Norway)))),W98(W94(W81(D1(Turkey)))),alt,Norway (55%),1917,92,1906,47,445,602,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,Senegal:-8 > Belgium:-10 > Spain:-55,Norway (55%),model
M101,W97(W89(W77(I1(Norway)))),W98(W94(W81(BEFIJ3(Senegal)))),alt,Norway (59%),1917,92,1867,58,445,754,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55,Norway (59%),model
M101,W97(W89(W77(I1(Norway)))),W98(W93(W83(K2(Portugal)))),alt,Portugal (59%),1917,92,1984,51,445,282,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (59%),model
M101,W97(W89(W77(I1(Norway)))),W98(W93(W83(L2(England)))),alt,England (59%),1917,92,2020,97,445,316,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,England (59%),model

M102,W99(W92(W80(L1(England)))),W100(W95(W86(J1(Argentina)))),predicted,Argentina (68%),2020,97,2113,40,316,266,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,G|Austria:-3 > Uruguay:0 > Paraguay:0 > Portugal:-29,Argentina (68%),model
M102,W99(W92(W80(L1(England)))),W100(W96(W87(K1(Portugal)))),alt,Portugal (50%),2020,97,1984,51,316,282,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (50%),model
M102,W99(W92(W80(L1(England)))),W100(W96(W85(B1(Switzerland)))),alt,England (70%),2020,97,1894,60,316,514,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,G|Canada:-1 > Algeria:0 > Netherlands:-15 > France:-45,England (70%),model
M102,W99(W92(W80(L1(England)))),W100(W95(W88(D2(Paraguay)))),alt,England (81%),2020,97,1832,5,316,609,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,G|Turkey:-4 > Iran:0 > Argentina:-40 > Portugal:-29,England (81%),model
M102,W99(W92(W80(L1(England)))),W100(W96(W85(B1(Canada)))),alt,England (76%),2020,97,1793,0,316,546,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,G|Switzerland:-3 > South Korea:0 > Netherlands:-15 > Argentina:-48,England (76%),model
M102,W99(W92(W80(L1(England)))),W100(W96(W87(K1(Colombia)))),alt,England (66%),2020,97,1977,10,316,636,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,G|Portugal:-6 > Croatia:-5 > Spain:-45 > Turkey:-20,England (66%),model
M102,W99(W92(W80(L1(England)))),W100(W95(W86(H2(Uruguay)))),alt,England (79%),2020,97,1892,10,316,504,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,G|Spain:-11 > Argentina:-20 > Paraguay:0 > Portugal:-29,England (79%),model
M102,W99(W92(W80(L1(England)))),W100(W95(W88(G2(Belgium)))),alt,England (68%),2020,97,1888,58,316,384,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23,Czechia:0 > Turkey:-17 > Portugal:-29,England (68%),model
M102,W99(W91(W78(I2(Norway)))),W100(W95(W86(J1(Argentina)))),alt,Argentina (75%),1917,92,2113,40,445,266,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,G|Austria:-3 > Uruguay:0 > Paraguay:0 > Portugal:-29,Argentina (75%),model
M102,W99(W91(W78(I2(Norway)))),W100(W96(W87(K1(Portugal)))),alt,Portugal (59%),1917,92,1984,51,445,282,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20,Portugal (59%),model
M102,W99(W91(W78(I2(Norway)))),W100(W96(W85(B1(Switzerland)))),alt,Norway (62%),1917,92,1894,60,445,514,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,G|Canada:-1 > Algeria:0 > Netherlands:-15 > France:-45,Norway (62%),model
M102,W99(W91(W78(I2(Norway)))),W100(W95(W88(D2(Paraguay)))),alt,Norway (75%),1917,92,1832,5,445,609,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,G|Turkey:-4 > Iran:0 > Argentina:-40 > Portugal:-29,Norway (75%),model
M102,W99(W91(W78(I2(Norway)))),W100(W96(W85(B1(Canada)))),alt,Norway (69%),1917,92,1793,0,445,546,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,G|Switzerland:-3 > South Korea:0 > Netherlands:-15 > Argentina:-48,Norway (69%),model
M102,W99(W91(W78(I2(Norway)))),W100(W96(W87(K1(Colombia)))),alt,Norway (58%),1917,92,1977,10,445,636,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,G|Portugal:-6 > Croatia:-5 > Spain:-45 > Turkey:-20,Norway (58%),model
M102,W99(W91(W78(I2(Norway)))),W100(W95(W86(H2(Uruguay)))),alt,Norway (73%),1917,92,1892,10,445,504,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,G|Spain:-11 > Argentina:-20 > Paraguay:0 > Portugal:-29,Norway (73%),model
M102,W99(W91(W78(I2(Norway)))),W100(W95(W88(G2(Belgium)))),alt,Norway (60%),1917,92,1888,58,445,384,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19,Czechia:0 > Turkey:-17 > Portugal:-29,Norway (60%),model
