country,final,last_4,last_8,last_16
Algeria,90/1,22/1,8/1,11/4
Argentina,4/1,2/1,1/1,4/9
Australia,275/1,80/1,16/1,9/2
Austria,35/1,12/1,5/1,15/8
Belgium,17/2,4/1,5/4,4/11
Bosnia & Herzegovina,275/1,50/1,11/1,11/4
Brazil,4/1,11/5,1/1,1/3
Canada,55/1,16/1,9/2,1/1
Cape Verde,500/1,275/1,60/1,14/1
Colombia,13/1,11/2,13/5,5/6
Croatia,22/1,9/1,4/1,5/4
Curacao,500/1,425/1,325/1,90/1
Czechia,125/1,30/1,15/2,2/1
DR Congo,425/1,100/1,25/1,15/2
Ecuador,25/1,10/1,4/1,6/5
Egypt,80/1,20/1,13/2,7/4
England,16/5,7/4,8/11,1/4
France,5/2,5/4,4/7,1/6
Germany,6/1,3/1,6/4,1/3
Ghana,100/1,30/1,10/1,7/2
Haiti,500/1,425/1,225/1,55/1
Iran,150/1,35/1,11/1,13/5
Iraq,500/1,500/1,80/1,20/1
Ivory Coast,50/1,17/1,11/2,8/5
Japan,30/1,12/1,9/2,17/10
Jordan,500/1,475/1,90/1,18/1
Mexico,19/1,8/1,11/4,4/6
Morocco,25/1,9/1,10/3,13/10
Netherlands,7/1,7/2,7/5,4/6
New Zealand,500/1,325/1,45/1,9/1
Norway,11/1,5/1,9/4,4/5
Panama,500/1,150/1,35/1,10/1
Paraguay,90/1,25/1,8/1,23/10
Portugal,9/2,21/10,10/11,4/11
Qatar,500/1,300/1,60/1,11/1
Saudi Arabia,500/1,100/1,25/1,7/1
Scotland,90/1,25/1,8/1,11/4
Senegal,45/1,16/1,6/1,21/10
South Africa,500/1,150/1,25/1,6/1
South Korea,100/1,35/1,15/2,2/1
Spain,23/10,11/10,8/13,2/9
Sweden,55/1,19/1,7/1,3/1
Switzerland,20/1,15/2,13/5,8/13
Tunisia,425/1,90/1,22/1,8/1
Turkey,35/1,12/1,4/1,6/5
Uruguay,18/1,7/1,3/1,13/10
USA,19/1,7/1,13/5,8/11
Uzbekistan,500/1,225/1,40/1,10/1

