round,group,match_id,team1,team2,winner,home_score,away_score,penalties
groups,A,A1,Netherlands,Qatar,Netherlands,2,0,
groups,A,A2,Netherlands,Ecuador,Draw,1,1,
groups,A,A3,Netherlands,Senegal,Netherlands,2,0,
groups,A,A4,Qatar,Ecuador,Ecuador,0,2,
groups,A,A5,Qatar,Senegal,Senegal,1,3,
groups,A,A6,Ecuador,Senegal,Senegal,1,2,
groups,B,B1,England,Iran,England,6,2,
groups,B,B2,England,United States,Draw,0,0,
groups,B,B3,England,Wales,England,3,0,
groups,B,B4,Iran,United States,United States,0,1,
groups,B,B5,Iran,Wales,Iran,2,0,
groups,B,B6,United States,Wales,Draw,1,1,
groups,C,C1,Argentina,Mexico,Argentina,2,0,
groups,C,C2,Argentina,Poland,Argentina,2,0,
groups,C,C3,Argentina,Saudi Arabia,Saudi Arabia,1,2,
groups,C,C4,Mexico,Poland,Draw,0,0,
groups,C,C5,Mexico,Saudi Arabia,Mexico,2,1,
groups,C,C6,Poland,Saudi Arabia,Poland,2,0,
groups,D,D1,France,Denmark,France,2,1,
groups,D,D2,France,Australia,France,4,1,
groups,D,D3,France,Tunisia,Tunisia,0,1,
groups,D,D4,Denmark,Australia,Australia,0,1,
groups,D,D5,Denmark,Tunisia,Draw,0,0,
groups,D,D6,Australia,Tunisia,Australia,1,0,
groups,E,E1,Spain,Germany,Draw,1,1,
groups,E,E2,Spain,Japan,Japan,1,2,
groups,E,E3,Spain,Costa Rica,Spain,7,0,
groups,E,E4,Germany,Japan,Japan,1,2,
groups,E,E5,Germany,Costa Rica,Germany,4,2,
groups,E,E6,Japan,Costa Rica,Costa Rica,0,1,
groups,F,F1,Belgium,Croatia,Draw,0,0,
groups,F,F2,Belgium,Morocco,Morocco,0,2,
groups,F,F3,Belgium,Canada,Belgium,1,0,
groups,F,F4,Croatia,Morocco,Draw,0,0,
groups,F,F5,Croatia,Canada,Croatia,4,1,
groups,F,F6,Morocco,Canada,Morocco,2,1,
groups,G,G1,Brazil,Serbia,Brazil,2,0,
groups,G,G2,Brazil,Switzerland,Brazil,1,0,
groups,G,G3,Brazil,Cameroon,Cameroon,0,1,
groups,G,G4,Serbia,Switzerland,Switzerland,2,3,
groups,G,G5,Serbia,Cameroon,Draw,3,3,
groups,G,G6,Switzerland,Cameroon,Switzerland,1,0,
groups,H,H1,Portugal,Uruguay,Portugal,2,0,
groups,H,H2,Portugal,South Korea,South Korea,1,2,
groups,H,H3,Portugal,Ghana,Portugal,3,2,
groups,H,H4,Uruguay,South Korea,Draw,0,0,
groups,H,H5,Uruguay,Ghana,Uruguay,2,0,
groups,H,H6,South Korea,Ghana,Ghana,2,3,
